Id,init_name,full_name,affiliation,city,country
122,AFFO A M,AFFO ALPHONSE MINGNIMON,,,
123,AFFO A M,AFFO ALPHONSE MINGNIMON,UNICEF Benin,Cotonou,Benin
124,AGARDH E E,AGARDH EMILIE ELISABET,,,
125,AGARDH E E,AGARDH EMILIE ELISABET,Inst Publ Hlth Sci,Stockholm,Sweden
126,AGBANGO J A,AGBANGO JEAN ANGBALU,,,
127,AGBANGO J A,AGBANGO JEAN ANGBALU,Natl Malaria Control Programme,Kinshasa,Zaire
128,AGBANI P,AGBANI PIERRE,,,
129,AGBANI P,AGBANI PIERRE,UAC  Fac Agron Sci FSA  Lab Appl Ecol LEA,Cotonou,Benin
130,AGBANRIN R,AGBANRIN RAMZIATH,CREC,Cotonou 06 BP2604,Benin
131,AGBANRINYOUSSOUF R,AGBANRINYOUSSOUF RAMZIATH,,,
132,AGBANRINYOUSSOUF R,AGBANRINYOUSSOUF RAMZIATH,Ctr Rech Entomol Cotonou,Cotonou,Benin
133,AGBANRINYOUSSOUF R,AGBANRINYOUSSOUF RAMZIATH,Univ Abomey Calavi  Fac Sci & Tech,Abomey Calavi,Benin
134,AGBO K,AGBO K,,,
135,AGBOGAN M,AGBOGAN MARC,Ctr Rech Entomol Cotonou,Cotonou,Benin
136,AGBOTA G,AGBOTA GINO,IRD  MERIT  UMR216,Paris,France
137,AGBOTA G,AGBOTA GINO,Paris Descartes Univ  Fac Pharm Paris  COMUE Sorbonne Paris Cite,F-75006 Paris,France
138,AGBOTA G,AGBOTA GINO,CERPAGE,Cotonou,Benin
139,AGBOTA G C,AGBOTA GINO CEDRIC,IRD  Mere & Enfant Face Infect Trop UMR216,Paris,France
140,AGBOTA G C,AGBOTA GINO CEDRIC,Univ Paris 05  PRES Paris Sorbonne Cite,Paris,France
141,AGBOTA G C,AGBOTA GINO CEDRIC,Univ Abomey Calavi  Fac Med Cotonou,Cotonou,Benin
142,AGBOTONZOUMENOU M A,AGBOTONZOUMENOU MARIEAGNES,,,
143,AGBOWAI C,AGBOWAI CARINE,Univ Abomey Calavi  Fac Sci Sante  Ctr Etude & Rech Paludisme Associe Grossesse & En,Cotonou,Benin
144,AGBOWAI C,AGBOWAI C,,,
145,AGBOWAI C,AGBOWAI CARINE,,,
146,AGBOWAI C,AGBOWAI CARINE,Fac Sci Sante  Lab Parasitol,Cotonou,Benin
147,AGBOWAI C,AGBOWAI CARINE,Univ Abomey Calavi  Fac Sci Sante,Cotonou,Benin
148,AGBOWAI C,AGBOWAI CARINE,Ctr Rech Entomol Cotonou,Cotonou,Benin
149,AGBOWAI C,AGBOWAI CARINE,Ctr Rech Entomol Cotonou  Parasitol Lab,Cotonou,Benin
150,AGBOWAI C,AGBOWAI CARINE,Univ Abomey Calavi  Fac Sci Sante  Ctr Etud & Rech Paludisme Associe Grossesse & Enf,Cotonou,Benin
151,AGERBAEK M O,AGERBAEK METTE O,Univ Copenhagen  Ctr Med Parasitol  Dept Immunol & Microbiol  Fac Hlth & Med Sci,Copenhagen,Denmark
152,AGERBAEK M O,AGERBAEK METTE O,Rigshosp  Dept Infect Dis  Copenhagen Univ Hosp,DK-2100 Copenhagen,Denmark
153,AGNEW P,AGNEW PHILIP,,,
154,AGNEW P,AGNEW PHILIP,IRD  CNRS  Genet & Evolut Malad Infect UMR 2724,F-34394 Montpellier,France
155,AGOSSA F,AGOSSA FIACRE,Ctr Rech Entomol Cotonou,Cotonou,Benin
156,AGOSSA F,AGOSSA FIACRE,Univ Abomey Calavi  Fac Sci & Tech,Calavi,Benin
157,AGOSSA F,AGOSSA FIACRE,Ctr Rech Entomol Cotonou,Cotonou 06,Benin
158,AGOSSA F,AGOSSA FIACRE,Univ Abomey Calavi  Fac Sci & Tech,Cotonou 01,Benin
159,AGOSSA F R,AGOSSA FIACRE R,,,
160,AGOSSA F R,AGOSSA FIACRE R,Ctr Rech Entomol Cotonou,Cotonou,Benin
161,AGOSSA F R,AGOSSA FIACRE R,Univ Abomey Calavi  Fac Sci & Tech FAST  Dept Zool,Cotonou,Benin
162,AGOSSA F R,AGOSSA FIACRE R,CREC,Cotonou,Benin
163,AGOSSA F R,AGOSSA FIACRE R,Minist Sante  Ctr Rech Entomol Cotonou,Cotonou,Benin
164,AGOSSA F R,AGOSSA FIACRE R,Univ Abomey Calavi  Fac Sci & Tech,Godomey,Benin
165,AGOSSA F R,AGOSSA FIACRE R,Univ Abomey Calavi  Fac Sci & Tech,Abomey Calavi,Benin
166,AGOSSA F R,AGOSSA FIACRE R,Univ Abomey Calavi  FAST  Lab Evolut Biodiversite Arthropodes & Assainissem,Cotonou,Benin
167,AGOSSA F R,AGOSSA FIACRE R,Univ dAbomey Calavi  Fac Sci & Tech,Cotonou,Benin
168,AGOSSA R F,AGOSSA RODRIGUE FIACRE,CREC,Cotonou,Benin
169,AGOSSA R F,AGOSSA RODRIGUE FIACRE,Univ Abomey Calavi  Fac Sci & Tech,Calavi,Benin
170,AGOSSOU C,AGOSSOU CHRISTIAN,,,
171,AGOSSOU C,AGOSSOU CHRISTIAN,Univ Colorado  Sch Publ Hlth,Denver,CO 80202 USA
172,AGOSSOU C D,AGOSSOU CHRISTIAN D,Ctr Rech Entomolog Cotonou,Cotonou,Benin
173,AGOSSOU K V,AGOSSOU KOMLAN V,,,
174,AGOSSOU K V,AGOSSOU KOMLAN V,Ctr Natl Hosp Univ Hubert Koutoukou Maga  Clin Univ Gynecol & Obstet,Cotonou,Benin
175,AGOSSOU V K,AGOSSOU VIDEHOUENOU K,,,
176,AGOSSOU V K,AGOSSOU VIDEHOUENOU K,Ctr Natl Hosp Univ Hubert Koutoukou Maga  Clin Univ Gynecol Obstet,Cotonou,Benin
177,AGUEMON A,AGUEMON A,,,
178,AGUEMON A,AGUEMON A,Ctr Natl Hosp Univ Hubert K Maga  Serv Reanimat,Cotonou,Benin
179,AHLONSOU E,AHLONSOU E,,,
180,AHLONSOU E,AHLONSOU E,Agence Natl Transfus Sanguine,Cotonou,Benin
181,AHLONSOU J,AHLONSOU JUSTINE,,,
182,AHLONSOU J,AHLONSOU JUSTINE,CREC,Cotonou,Benin
183,AHOLOUKPE B,AHOLOUKPE BRUNO,,,
184,AHOLOUKPE B,AHOLOUKPE BRUNO,Programme Natl Lutte Paludisme,Cotonou,Benin
185,AHOLOUKPE B,AHOLOUKPE BRUNO,Natl Malaria Control Program,Cotonou,Benin
186,AHOLOUKPE B,AHOLOUKPE BRUNO,Minist Hlth,Cotonou,Benin
187,AHOUANDJINOU E,AHOUANDJINOU ELLA,,,
188,AHOUANDJINOU E,AHOUANDJINOU ELLA,Univ Abomey Calavi  Lab Physiol Nutr,Cotonou,Benin
189,AHOUANGNINOU C,AHOUANGNINOU CLAUDE,,,
190,AHOUANGNINOU C,AHOUANGNINOU CLAUDE,CERPAGE,Cotonou,Benin
191,AHOUANGNINOU C,AHOUANGNINOU CLAUDE,Fac Sci Sante  CERPAGE,Cotonou,Benin
192,AHOUANGNINOU C,AHOUANGNINOU CLAUDE,Inst Dev Res,Cotonou,Benin
193,AHOUANSOU C,AHOUANSOU CHARLES,,,
194,AHOUANSOU C,AHOUANSOU CHARLES,CERPAGE,Cotonou,Benin
195,AHOUNOU D,AHOUNOU DANIEL,Ctr Rech Entomol Cotonou,Cotonou,Benin
196,AHOUNOU D,AHOUNOU D,Ctr Rech Entomol Cotonou,Cotonou,Benin
197,AHOUNOU D,AHOUNOU DANIEL,,,
198,AIKPON R,AIKPON R,,,
199,AIKPON R,AIKPON ROCK,,,
200,AIKPON R,AIKPON ROCK,Minist Sante  Ctr Rech Entomol Cotonou,Cotonou,Benin
201,AIKPON R,AIKPON ROCK,Univ Abomey Calavi  Fac Sci & Tech,Godomey,Benin
202,AIKPON R,AIKPON ROCK,Ctr Rech Entomol Cotonou,Cotonou,Benin
203,AIKPON R,AIKPON ROCK,Univ Abomey Calavi  Fac Sci & Tech,Abomey Calavi,Benin
204,AIKPON R,AIKPON ROCK,Univ Abomey Calavi  Fac Sci & Tech,Calavi,Benin
205,AIKPON R,AIKPON ROCK,Ctr Rech Entomol Cotonou CREC,Cotonou,Benin
206,AIKPON R,AIKPON ROCK,Ctr Rech Entomol Cotonou,Cotonou 06,Benin
207,AIKPON R,AIKPON ROCK,Univ Abomey Calavi  Fac Sci & Tech,Cotonou 01,Benin
208,AIKPON R,AIKPON ROCK,Ctr Rech Entomol Cotonou,Cotonou 2604,Benin
209,AIKPON R,AIKPON ROCK,CREC,Cotonou 2604,Benin
210,AIKPON R,AIKPON ROCK,CREC,Cotonou,Benin
211,AIKPON R,AIKPON ROCK,Univ Abomey  Fac Sci & Tech,Calavi,Benin
212,AIKPON R Y,AIKPON ROCK Y,Ctr Rech Entomol Cotonou,Cotonou 06,Benin
213,AIKPON R Y,AIKPON ROCK Y,Univ Abomey Calavi  Fac Sci & Tech,Calavi,Benin
214,AIKPON R Y,AIKPON ROCK Y,CREC,Cotonou,Benin
215,AIKPON R Y,AIKPON ROCK Y,Univ dAbomey Calavi  Fac Sci & Tech,Cotonou,Benin
216,AIZOUN N,AIZOUN NAZAIRE,Ctr Rech Entomol Cotonou,Cotonou,Benin
217,AIZOUN N,AIZOUN NAZAIRE,Univ Abomey Calavi  Fac Sci & Tech,Calavi,Benin
218,AIZOUN N,AIZOUN NAZAIRE,CREC,Cotonou,Benin
219,AIZOUN N,AIZOUN NAZAIRE,Univ Abomey  Fac Sci & Tech,Calavi,Benin
220,AKADIRI G,AKADIRI GUINOUSSA,,,
221,AKADIRI G,AKADIRI GUINOUSSA,UNICEF Benin,Cotonou,Benin
222,AKAKPO J,AKAKPO J,Inst Rech Dev,Cotonou,Benin
223,AKAKPO J,AKAKPO J,Ctr Natl Hosp Univ Hubert Koutoukou Maga  Ctr Traitement Ambulatoire  Serv Med Interne,Cotonou,Benin
224,AKAKPO J,AKAKPO JOCELYN,,,
225,AKAKPO J,AKAKPO JOCELYN,Ctr Natl Hosp Univ Hubert Koutoukou Maga  Ctr Traitement Ambulatoire,Cotonou,Benin
226,AKAKPO J,AKAKPO JOCELYN,Univ Abomey Calavi  Fac Sci Sante,Cotonou,Benin
227,AKENA D,AKENA DICKENS,,,
228,AKENA D,AKENA DICKENS,Makerere Univ,Kampala,Uganda
229,AKEREYDIOP D,AKEREYDIOP DAISY,,,
230,AKEREYDIOP D,AKEREYDIOP D,,,
231,AKOEGNINOU A,AKOEGNINOU A,,,
232,AKOGBETO A,AKOGBETO A,,,
233,AKOGBETO M,AKOGBETO MARTIN,,,
234,AKOGBETO M,AKOGBETO MARTIN,Ctr Rech Entomol Cotonou,Cotonou,Benin
235,AKOGBETO M,AKOGBETO MARTIN,Univ Abomey Calavi  Fac Sci & Tech FAST  Dept Zool,Cotonou,Benin
236,AKOGBETO M,AKOGBETO MARTIN,Minist Hlth  Ctr Rech Entomol Cotonou  BP 2604,Cotonou 06,Benin
237,AKOGBETO M,AKOGBETO M,,,
238,AKOGBETO M,AKOGBETO MARTIN,CREC,Cotonou,Benin
239,AKOGBETO M,AKOGBETO MARTIN,Univ Abomey Calavi  Fac Sci & Tech,Abomey Calavi,Benin
240,AKOGBETO M,AKOGBETO MARTIN,Entomol Res Ctr Cotonou CREC,Cotonou,Benin
241,AKOGBETO M,AKOGBETO MARTIN,Univ Abomey Calavi  Fac Sci & Tech,Calavi,Benin
242,AKOGBETO M,AKOGBETO M,Ctr Rech Entomol Cotonou,Cotonou,Benin
243,AKOGBETO M,AKOGBETO M,Univ Abomey Calavi  CREC,Cotonou,Benin
244,AKOGBETO M,AKOGBETO MARTIN,CNRS  Inst Sci Evolut  Equipe Genet Adaptat,Montpellier,France
245,AKOGBETO M,AKOGBETO MARTIN,Ctr Rech Entomol Cotonou CREC,Cotonou,Benin
246,AKOGBETO M,AKOGBETO MARTIN,Ctr Rech Entomol Cotonou,Cotonou 06,Benin
247,AKOGBETO M,AKOGBETO MARTIN,Univ Abomey Calavi  Fac Sci & Tech,Cotonou 01,Benin
248,AKOGBETO M,AKOGBETO MARTIN,Ctr Entomol Res,Cotonou,Benin
249,AKOGBETO M,AKOGBETO MARTIN,Univ Abomey Calavi  Ctr Rech Entomol Cotonou  Fac Sci & Tech,Cotonou,Benin
250,AKOGBETO M,AKOGBETO MARTIN,Ctr Rech Entomolog Cotonou,Cotonou,Benin
251,AKOGBETO M,AKOGBETO MARTIN,Ctr Rech Entomol Cotonou,Cotonou 2604,Benin
252,AKOGBETO M,AKOGBETO MARTIN,CREC,Cotonou 2604,Benin
253,AKOGBETO M,AKOGBETO MARTIN,Ctr Rech Entomol Cotonou  Parasitol Lab,Cotonou,Benin
254,AKOGBETO M,AKOGBETO MARTIN,Minist Sante  Lab Natl  CREC,Cotonou 06,Benin
255,AKOGBETO M,AKOGBETO MARTIN,Minist Sante Publ  Ctr Rech Entomol Cotonou,Cotonou,Benin
256,AKOGBETO M,AKOGBETO MARTIN,CREC,Cotonou 06 BP2604,Benin
257,AKOGBETO M,AKOGBETO MARTIN,Univ Abomey Calavi  Fac Sci & Tech,Cotonou,Benin
258,AKOGBETO M,AKOGBETO M,PAMVERC,Cotonou,Benin
259,AKOGBETO M,AKOGBETO M,PAMVERC,Moshi,Tanzania
260,AKOGBETO M,AKOGBETO MARTIN,Minist Sante  CREC Labs  Ctr Rech Entomolog Cotonou  Nat Lab,Cotonou 06,Benin
261,AKOGBETO M,AKOGBETO MARTIN,Univ Abomey  Fac Sci & Tech,Calavi,Benin
262,AKOGBETO M,AKOGBETO MARTIN,Minist Sante  Lab Natl  Ctr Rech Entomol Cotonou,Cotonou,Benin
263,AKOGBETO M C,AKOGBETO MARTIN C,,,
264,AKOGBETO M C,AKOGBETO MARTIN C,Ctr Rech Entomol Cotonou,Cotonou 06,Benin
265,AKOGBETO M C,AKOGBETO MARTIN C,Natl Univ Benin  Abomey,Calavi,Benin
266,AKOGBETO M C,AKOGBETO MARTIN C,CREC,Cotonou,Benin
267,AKOGBETO M C,AKOGBETO MARTIN C,Minist Sante  Ctr Rech Entomol Cotonou,Cotonou,Benin
268,AKOGBETO M C,AKOGBETO MARTIN C,Univ Abomey Calavi  Fac Sci & Tech,Godomey,Benin
269,AKOGBETO M C,AKOGBETO MARTIN C,Ctr Rech Entomol Cotonou,Cotonou,Benin
270,AKOGBETO M C,AKOGBETO MARTIN C,Univ Abomey Calavi  Fac Sci & Tech,Abomey Calavi,Benin
271,AKOGBETO M C,AKOGBETO M C,,,
272,AKOGBETO M C,AKOGBETO MARTIN C,FAST UAC  Lab Evolut Biodiversite Arthropodes & Assainissem,Abomey Calavi,Benin
273,AKOGBETO M C,AKOGBETO MARTIN C,Univ Abomey Calavi  FAST  Lab Evolut Biodiversite Arthropodes & Assainissem,Cotonou,Benin
274,AKOGBETO M C,AKOGBETO MARTIN C,Univ dAbomey Calavi  Fac Sci & Tech,Cotonou,Benin
275,AKOGBETO M C,AKOGBETO MARTIN C,Minist Hlth,Cotonou,Benin
276,AKOGBETO M C,AKOGBETO MARTIN C,Univ Abomey Calavi  Fac Sci & Tech,Calavi,Benin
277,AKOGBETO M C,AKOGBETO MARTIN C,Ctr Rech Entomolog Cotonou,Cotonou,Benin
278,AKOTON R,AKOTON ROMARIC,Int Inst Trop Agr  08 BP 0932,Cotonou,Benin
279,AKOTON R,AKOTON ROMARIC,Univ Abomey  Calavi BP 526,Cotonou,Benin
280,AKOTON R,AKOTON ROMARIC,Univ Abomey Calavi  BP 526,Cotonou,Benin
281,AKPLOGAN C,AKPLOGAN CARINE,Univ Abomey Calavi  Fac Sci Sante  CERPAGE,Cotonou,Benin
282,AKPLOGAN C,AKPLOGAN CARINE,Univ Abomey Calavi  Fac Sci & Tech  Dept Biochim & Biol Cellulaire,Cotonou,Benin
283,AKPLOGAN S,AKPLOGAN S,,,
284,AKPLOGAN S,AKPLOGAN S,CNHU HKM  Hematol Lab,Cotonou,Benin
285,AKPONA S,AKPONA S,,,
286,AKPOVI C D,AKPOVI CASIMIR D,,,
287,AKPOVI C D,AKPOVI CASIMIR D,Univ Abomey Calavi  Lab Biochim & Biol Mol,Cotonou,Benin
288,AKULAYI L,AKULAYI LOUIS,,,
289,AKULAYI L,AKULAYI LOUIS,Assoc Sante Familiale  Immeuble USTC,Kinshasa,Zaire
290,AKULAYI L,AKULAYI LOUIS,Assoc Sante Familiale,Kinshasa,Zaire
291,AKULAYI L,AKULAYI LOUIS,Assoc Sante Familiale,Kinshasa,Congo
292,AL KAHBOURI M J,AL KAHBOURI MAZIN J,,,
293,AL KAHBOURI M J,AL KAHBOURI MAZIN J,Minist Hlth,Muscat,Oman
294,ALAO J M,ALAO JULES M,,,
295,ALAO J M,ALAO JULES M,Mother & Child Hosp HOMEL  Dept Paediat,Cotonou,Benin
296,ALAO M J,ALAO MAROUFOU J,,,
297,ALAO M J,ALAO MAROUFOU J,Hop Mere & Enfant Lagune  Serv Pediat,Cotonou 01107,Benin
298,ALAO M J,ALAO MAROUFOU J,Mother & Child Hosp HOMEL  Dept Paediat,Cotonou,Benin
299,ALAO M J,ALAO MAROUFOU J,Hop Mere & Enfant Lagune  Serv Pediat,Cotonou 01,Benin
300,ALAO M J,ALAO MAROUFOU J,Hop Mere Enfant Lagune HOMEL  Dept Pediat,Cotonou,Benin
