True Id,Cluster ID,Id,init_name,last_name,first_name,affiliation,city,country
0,0,4944,DJENONTIN A,DJENONTIN,ARMEL,Inst Rech Dev  MIVEGEC  IRD 224  CNRS 5290 UM1 UM2,Cotonou,Benin
0,0,4945,DJENONTIN A,DJENONTIN,ARMEL,Minist Sante  Ctre Rech Entomol Cotonou,Cotonou,Benin
0,0,5267,DJENONTIN A,DJENONTIN,ARMEL,Univ Montpellier I  CNRS 5290  UMR IRD 224  Inst Rech Dev,Cotonou,Benin
0,0,5268,DJENONTIN A,DJENONTIN,ARMEL,Univ Montpellier 2,Cotonou,Benin
0,0,5269,DJENONTIN A,DJENONTIN,ARMEL,Minist Sante Publ  Ctr Rech Entomol Cotonou,Cotonou,Benin
0,0,5545,DJENONTIN A,DJENONTIN,ARMEL,Inst Rech Dev IRD UR016,Cotonou,Benin
0,0,6203,DJENONTIN A,DJENONTIN,ARMEL,Univ Abomey Calavi  Fac Sci & Technol,Abomey Calavi,Benin
0,0,1476,DJENONTIN A,DJENONTIN,ARMEL,,,
0,1257,5919,ARMEL D,ARMEL,DJENONTIN,CREC IRD,Cotonou,Benin
0,1257,4983,ARMEL D,ARMEL,DJENONTIN,,,
1,1,5,ALOU L P A,ALOU,LUDOVIC P AHOUA,INSP  IPR,Bouake,Cote Ivoire
1,1,4,ALOU L P A,ALOU,LUDOVIC P AHOUA,,,
2,2,7,KOFFI A,KOFFI,ALPHONSINE,INSP  IPR,Bouake,Cote Ivoire
2,2,3314,KOFFI A,KOFFI,ALPHONSINE,Inst Natl Sante Publ  Inst Pierre Richet IPR,Abidjan,Cote Ivoire
2,2,4379,KOFFI A,KOFFI,A,UFR Sci Pharmaceut Abidjan  Lab Biopharm & Technol Pharmaceut,Abidjan,Cote Ivoire
2,2,6,KOFFI A,KOFFI,ALPHONSINE,,,
2,2,4378,KOFFI A,KOFFI,A,,,
2,2,843,KOFFI A A,KOFFI,ALPHONSINE A,Inst Natl Sante Publique  Inst Pierre Richet,Abidjan,Cote Ivoire
2,2,842,KOFFI A A,KOFFI,ALPHONSINE A,,,
3,3,9,ZOGO B,ZOGO,BARNABAS,IRD  MIVEGEC  UM CNRS IRD 224 5290,Cotonou,Benin
3,3,10,ZOGO B,ZOGO,BARNABAS,CREC,Cotonou,Benin
3,3,761,ZOGO B,ZOGO,BARNABAS,IRD CREC Cotonou,Cotonou,Benin
3,3,762,ZOGO B,ZOGO,BARNABAS,Univ Abomey Calavi,Cotonou,Benin
3,3,2862,ZOGO B,ZOGO,BARNABAS,UM1 UM2 CNRS 5290 IRD 224  IRD,Cotonou,Benin
3,3,3322,ZOGO B,ZOGO,BARNABAS,Ctr Rech Entomol Cotonou  MIVEGEC IRD CNRS UM1 UM2 224 5290,Cotonou,Benin
3,3,8,ZOGO B,ZOGO,BARNABAS,,,
4,4,12,DUARTE E,DUARTE,ELVES,IRD  MIVEGEC  UM CNRS IRD 224 5290,Cotonou,Benin
4,4,13,DUARTE E,DUARTE,ELVES,CREC,Cotonou,Benin
4,4,11,DUARTE E,DUARTE,ELVES,,,
5,5,14,NGUESSAN R,NGUESSAN,RAPHAEL,,,
5,5,52,NGUESSAN R,NGUESSAN,R,,,
5,292,652,RAPHAEL N,RAPHAEL,N,CREC  London Sch Hyg & Trop Med,Cotonou,Benin
5,292,651,RAPHAEL N,RAPHAEL,N,,,
5,1491,1703,GUESSAN R N,GUESSAN,R N,,,
6,6,16,MOIROUX N,MOIROUX,NICOLAS,IRD  MIVEGEC  UM CNRS IRD 224 5290,Montpellier,France
6,6,57,MOIROUX N,MOIROUX,NICOLAS,IRD  CNRS 5290  IRD 224  MIVEGEC UM1 UM2,Montpellier,France
6,6,58,MOIROUX N,MOIROUX,NICOLAS,CREC  Minist Sante,Montpellier,France
6,6,1291,MOIROUX N,MOIROUX,NICOLAS,IRD  UM1 UM2 CNRS 5290 IRD 224  MiVEGEC,Montpellier,France
6,6,1468,MOIROUX N,MOIROUX,NICOLAS,Inst Rech Dev,Montpellier,France
6,6,1469,MOIROUX N,MOIROUX,NICOLAS,Univ Montpellier I,Montpellier,France
6,6,1470,MOIROUX N,MOIROUX,NICOLAS,Univ Montpellier 2,Montpellier,France
6,6,1790,MOIROUX N,MOIROUX,NICOLAS,IRD 224 CNRS 5290 UM1 UM2  MIVEGEC  Inst Rech Dev,Montpellier,France
6,6,2112,MOIROUX N,MOIROUX,NICOLAS,IRD  MIVEGEC IRD CNRS 5290 UM1 UM2 224,F-34394 Montpellier,France
6,6,2869,MOIROUX N,MOIROUX,NICOLAS,MIVEGEC IRD 224 CNRS 5290 UM1 UM2  Inst Rech Dev,Montpellier,France
6,6,4855,MOIROUX N,MOIROUX,NICOLAS,MIVEGEC IRD 224 CNRS 5290 UM1 UM2  Inst Rech Dev,F-34394 Montpellier,France
6,6,4934,MOIROUX N,MOIROUX,NICOLAS,Inst Rech Dev  MIVEGEC  IRD 224  CNRS 5290 UM1 UM2,Montpellier,France
6,6,5154,MOIROUX N,MOIROUX,NICOLAS,UMR UM1 UM2 CNRS 5290 IRD 224  Inst Rech Dev,Montpellier,France
6,6,5270,MOIROUX N,MOIROUX,NICOLAS,Inst Rech Dev  MIVEGEC Unit,Montpellier,France
6,6,56,MOIROUX N,MOIROUX,NICOLAS,IRD  CNRS 5290  IRD 224  MIVEGEC UM1 UM2,Cotonou,Benin
6,6,1366,MOIROUX N,MOIROUX,NICOLAS,Univ Abomey Calavi  CREC,Cotonou,Benin
6,6,1367,MOIROUX N,MOIROUX,NICOLAS,Inst Rech Dev IRD 224,Cotonou,Benin
6,6,1580,MOIROUX N,MOIROUX,NICOLAS,IRD  MIVEGEC IRD CNRS UM1 224 5290,Cotonou,Benin
6,6,1581,MOIROUX N,MOIROUX,NICOLAS,Minist Sante  CREC,Cotonou,Benin
6,6,1789,MOIROUX N,MOIROUX,NICOLAS,IRD 224 CNRS 5290 UM1 UM2  MIVEGEC  Inst Rech Dev,Cotonou,Benin
6,6,3030,MOIROUX N,MOIROUX,NICOLAS,IRD,Cotonou,Benin
6,6,3031,MOIROUX N,MOIROUX,NICOLAS,CREC  Lab Natl  Minist Sante,Cotonou 06,Benin
6,6,3059,MOIROUX N,MOIROUX,NICOLAS,CNRS  UM1 UM2 5290  IRD 224  Inst Rech Dev Malad Infect & Vecteurs,Cotonou,Benin
6,6,3060,MOIROUX N,MOIROUX,NICOLAS,Ctr Rech Entomol Cotonou,Cotonou,Benin
6,6,3272,MOIROUX N,MOIROUX,NICOLAS,CREC,Cotonou,Benin
6,6,3273,MOIROUX N,MOIROUX,NICOLAS,IRD  UR016,Cotonou,Benin
6,6,4935,MOIROUX N,MOIROUX,NICOLAS,Inst Rech Dev  MIVEGEC  IRD 224  CNRS 5290 UM1 UM2,Cotonou,Benin
6,6,5546,MOIROUX N,MOIROUX,NICOLAS,Inst Rech Dev IRD UR016,Cotonou,Benin
6,6,15,MOIROUX N,MOIROUX,NICOLAS,,,
7,7,75,PENNETIER C,PENNETIER,CEDRIC,CREC  Minist Sante,Montpellier,France
7,7,724,PENNETIER C,PENNETIER,CEDRIC,Inst Rech Dev  Lab Lutte Insectes Nuisibles,F-34394 Montpellier,France
7,7,2314,PENNETIER C,PENNETIER,CEDRIC,Ctr IRD Montpellier  IRD UMR  MIGEVEC  UM1 UM2 CNRS5290 IRD 224,F-34394 Montpellier 5,France
7,7,2689,PENNETIER C,PENNETIER,CEDRIC,Inst Rech Dev,Montpellier,France
7,7,2870,PENNETIER C,PENNETIER,CEDRIC,MIVEGEC IRD 224 CNRS 5290 UM1 UM2  Inst Rech Dev,Montpellier,France
7,7,3021,PENNETIER C,PENNETIER,CEDRIC,IRD  Lab Lutte Insectes Nuisibles,F-34394 Montpellier 5,France
7,7,4175,PENNETIER C,PENNETIER,CEDRIC,LIN  IRD  UR016,Montpellier,France
7,7,5615,PENNETIER C,PENNETIER,CEDRIC,Inst Rech Dev  UR016,F-34394 Montpellier,France
7,7,6206,PENNETIER C,PENNETIER,CEDRIC,Univ Montpellier I  IRD 224  CNRS 5290  MIVEGEC,Montpellier,France
7,7,6207,PENNETIER C,PENNETIER,CEDRIC,Univ Montpellier 2,Montpellier,France
7,7,2232,PENNETIER C,PENNETIER,C,Malad Infect & Vecteurs Ecol Genet Evolut & Contr  Caracterisat & Controle Populat Vecteurs,Montpellier,France
7,7,725,PENNETIER C,PENNETIER,CEDRIC,Univ Greenwich Medway  Chatham ME4 4TB,Kent,England
7,7,726,PENNETIER C,PENNETIER,CEDRIC,Univ Sussex  Sch Life Sci  Brighton BN1 9QG,E Sussex,England
7,7,18,PENNETIER C,PENNETIER,CEDRIC,IRD  MIVEGEC  UM CNRS IRD 224 5290,Cotonou,Benin
7,7,74,PENNETIER C,PENNETIER,CEDRIC,IRD  CNRS 5290  IRD 224  MIVEGEC UM1 UM2,Cotonou,Benin
7,7,1303,PENNETIER C,PENNETIER,CEDRIC,IRD  UM1 UM2 CNRS 5290 IRD 224  MiVEGEC,Cotonou,Benin
7,7,1304,PENNETIER C,PENNETIER,CEDRIC,Ctr Rech Entomol Cotonou,Cotonou,Benin
7,7,2158,PENNETIER C,PENNETIER,CEDRIC,Ctr Rech Entomol Cotonou CREC,Cotonou,Benin
7,7,2159,PENNETIER C,PENNETIER,CEDRIC,Inst Rech Dev,Cotonou,Benin
7,7,2292,PENNETIER C,PENNETIER,CEDRIC,IRD CREC,Cotonou,Benin
7,7,2315,PENNETIER C,PENNETIER,CEDRIC,IRD CREC  MIGEVEC  UM1  UM2 CNRS5290 IRD 224,Cotonou 08,Benin
7,7,2850,PENNETIER C,PENNETIER,CEDRIC,UM1 UM2 CNRS 5290 IRD 224  IRD,Cotonou,Benin
7,7,2851,PENNETIER C,PENNETIER,CEDRIC,CREC,Cotonou,Benin
7,7,2871,PENNETIER C,PENNETIER,CEDRIC,Minist Sante  Ctr Rech Entomol Cotonou,Cotonou,Benin
7,7,3321,PENNETIER C,PENNETIER,CEDRIC,Ctr Rech Entomol Cotonou  MIVEGEC IRD CNRS UM1 UM2 224 5290,Cotonou,Benin
7,7,4366,PENNETIER C,PENNETIER,CEDRIC,UM1 UM2 CNRS 5290 IRD 224  Inst Rech Dev  UMR MIVEGEC,Contonou,Benin
7,7,4367,PENNETIER C,PENNETIER,CEDRIC,Minist Hlth  Ctr Rech Entomol Cotonou,Contonou,Benin
7,7,4939,PENNETIER C,PENNETIER,CEDRIC,Inst Rech Dev  MIVEGEC  IRD 224  CNRS 5290 UM1 UM2,Cotonou,Benin
7,7,4940,PENNETIER C,PENNETIER,CEDRIC,Minist Sante  Ctre Rech Entomol Cotonou,Cotonou,Benin
7,7,5862,PENNETIER C,PENNETIER,CEDRIC,IRD  CCPV UMR MIVEGEC  UR016,Cotonou,Benin
7,7,6086,PENNETIER C,PENNETIER,CEDRIC,Ctr Rech Entomol Cotonou  IRD  MIVEGEC  UM1 CNRS 5290 IRD 224,Cotonou,Benin
7,7,17,PENNETIER C,PENNETIER,CEDRIC,,,
7,7,2231,PENNETIER C,PENNETIER,C,,,
8,8,21,BIGUEZOTON A,BIGUEZOTON,ABEL,IRD  UR Malad Infect & Vecteurs Ecol Genet Evol & Cont,Montpellier,France
8,8,20,BIGUEZOTON A,BIGUEZOTON,ABEL,Ctr Int Rech Dev Elevage Zone Subhumide CIRDES  Unite Rech Bases Biol Lutte Integree URBIO  559 3-51 Ave Gouverneur Louveau 01BP 454,Bobo Dioulasso 01,Burkina Faso
8,8,19,BIGUEZOTON A,BIGUEZOTON,ABEL,Ecole Polytech Abomey Calavi  URBPSA  Lab Rech Biol Appl  01 BP 2009,Cotonou,Benin
9,9,23,NOEL V,NOEL,VALERIE,IRD  UR Malad Infect & Vecteurs Ecol Genet Evol & Cont,Montpellier,France
9,9,24,NOEL V,NOEL,VALERIE,Univ Montpellier  CNRS  UMR MIVEGEC 5290,F-34059 Montpellier,France
9,9,2999,NOEL V,NOEL,VALERIE,IRD  CNRS  Genet & Evolut Malad Infect UMR 2724,F-34394 Montpellier,France
9,9,22,NOEL V,NOEL,VALERIE,,,
10,10,27,ADAKAL H,ADAKAL,HASSANE,Univ Dan Dicko Dan Koulodo  Dept Sci & Tech Elevage DSTE FASE  BP 465,Maradi,Niger
10,10,26,ADAKAL H,ADAKAL,HASSANE,,,
11,11,30,ZOUNGRANA S,ZOUNGRANA,SEBASTIEN,Ctr Int Rech Dev Elevage Zone Subhumide CIRDES  Unite Rech Bases Biol Lutte Integree URBIO  559 3-51 Ave Gouverneur Louveau 01BP 454,Bobo Dioulasso 01,Burkina Faso
11,11,29,ZOUNGRANA S,ZOUNGRANA,SEBASTIEN,,,
12,12,33,CHEVILLON C,CHEVILLON,CHRISTINE,IRD  UR Malad Infect & Vecteurs Ecol Genet Evol & Cont,Montpellier,France
12,12,34,CHEVILLON C,CHEVILLON,CHRISTINE,Univ Montpellier  CNRS  UMR MIVEGEC 5290,F-34059 Montpellier,France
12,12,32,CHEVILLON C,CHEVILLON,CHRISTINE,,,
13,13,2034,OXBOROUGH R M,OXBOROUGH,RICHARD M,Kilimanjaro Christian Med Univ Coll  Dept Entomol & Parasitol  Moshi,Kilimanjaro,Tanzania
13,13,2035,OXBOROUGH R M,OXBOROUGH,RICHARD M,Pan African Malaria Vector Res Consortium  PAMVERC,Moshi,Tanzania
13,13,3069,OXBOROUGH R M,OXBOROUGH,RICHARD M,Pan African Malaria Vector Res Consortium PAMVERC,Moshi,Tanzania
13,13,5059,OXBOROUGH R M,OXBOROUGH,RICHARD M,Tumaini Univ  Kilimanjaro Christian Med Coll,Moshi,Tanzania
13,13,5062,OXBOROUGH R M,OXBOROUGH,RICHARD M,Pan African Malaria Vector Res Consortium,Muheza,Tanzania
13,13,36,OXBOROUGH R M,OXBOROUGH,R M,Tumaini Univ  Kilimanjaro Christian Med Coll,Moshi,Tanzania
13,13,5582,OXBOROUGH R M,OXBOROUGH,R M,PAMVERC,Moshi,Tanzania
13,13,2033,OXBOROUGH R M,OXBOROUGH,RICHARD M,London Sch Hyg & Trop Med  Dept Dis Control,London WC1,England
13,13,5060,OXBOROUGH R M,OXBOROUGH,RICHARD M,London Sch Hyg & Trop Med,London WC1,England
13,13,35,OXBOROUGH R M,OXBOROUGH,R M,London Sch Hyg & Trop Med,London WC1E 7HT,England
13,13,5580,OXBOROUGH R M,OXBOROUGH,R M,Univ London London Sch Hyg & Trop Med,London WC1E 7HT,England
13,13,5061,OXBOROUGH R M,OXBOROUGH,RICHARD M,Pan African Malaria Vector Res Consortium,Cotonou,Benin
13,13,5581,OXBOROUGH R M,OXBOROUGH,R M,PAMVERC,Cotonou,Benin
14,14,2037,KITAU J,KITAU,JOVIN,Kilimanjaro Christian Med Univ Coll  Dept Entomol & Parasitol  Moshi,Kilimanjaro,Tanzania
14,14,2038,KITAU J,KITAU,JOVIN,Pan African Malaria Vector Res Consortium  PAMVERC,Moshi,Tanzania
14,14,3071,KITAU J,KITAU,JOVIN,Pan African Malaria Vector Res Consortium PAMVERC,Moshi,Tanzania
14,14,5055,KITAU J,KITAU,JOVIN,Tumaini Univ  Kilimanjaro Christian Med Coll,Moshi,Tanzania
14,14,5058,KITAU J,KITAU,JOVIN,Pan African Malaria Vector Res Consortium,Muheza,Tanzania
14,14,38,KITAU J,KITAU,J,Tumaini Univ  Kilimanjaro Christian Med Coll,Moshi,Tanzania
14,14,5056,KITAU J,KITAU,JOVIN,London Sch Hyg & Trop Med,London WC1,England
14,14,5057,KITAU J,KITAU,JOVIN,Pan African Malaria Vector Res Consortium,Cotonou,Benin
14,14,2036,KITAU J,KITAU,JOVIN,,,
14,14,37,KITAU J,KITAU,J,,,
15,15,5067,MATOWO J,MATOWO,JOHNSON,Tumaini Univ  Kilimanjaro Christian Med Coll,Moshi,Tanzania
15,15,5070,MATOWO J,MATOWO,JOHNSON,Pan African Malaria Vector Res Consortium,Muheza,Tanzania
15,15,40,MATOWO J,MATOWO,J,Tumaini Univ  Kilimanjaro Christian Med Coll,Moshi,Tanzania
15,15,5068,MATOWO J,MATOWO,JOHNSON,London Sch Hyg & Trop Med,London WC1,England
15,15,5069,MATOWO J,MATOWO,JOHNSON,Pan African Malaria Vector Res Consortium,Cotonou,Benin
15,15,39,MATOWO J,MATOWO,J,,,
16,16,42,MNDEME R,MNDEME,R,Tumaini Univ  Kilimanjaro Christian Med Coll,Moshi,Tanzania
16,16,41,MNDEME R,MNDEME,R,,,
17,17,44,FESTON E,FESTON,E,Tumaini Univ  Kilimanjaro Christian Med Coll,Moshi,Tanzania
17,17,43,FESTON E,FESTON,E,,,
18,18,904,BOKO M,BOKO,MICHEL,Univ Abomey Calavi  Dept Geog,Cotonou,Benin
18,18,1143,BOKO M,BOKO,MICHEL,UAC  CIFRED  Lab Toxicol & Environm Hlth,Cotonou,Benin
18,18,903,BOKO M,BOKO,MICHEL,,,
19,19,5588,BOKO P,BOKO,P,PAMVERC,Moshi,Tanzania
19,19,3110,BOKO P,BOKO,PELAGIE,Univ Liverpool  Liverpool Sch Trop Med  Dept Vector Biol  Liverpool L3 5QA,Merseyside,England
19,19,1630,BOKO P,BOKO,PELAGIE,Ctr Rech Entomol Cotonou,Cotonou,Benin
19,19,5159,BOKO P,BOKO,PELAGIE,Minist Sante  Lab Natl  CREC,Cotonou 06,Benin
19,19,5657,BOKO P,BOKO,PELAGIE,Minist Sante  CREC Labs  Ctr Rech Entomolog Cotonou  Nat Lab,Cotonou 06,Benin
19,19,6225,BOKO P,BOKO,PELAGIE,Minist Sante  Lab Natl  Ctr Rech Entomol Cotonou,Cotonou,Benin
19,19,46,BOKO P,BOKO,P,CREC,Cotonou,Benin
19,19,5587,BOKO P,BOKO,P,PAMVERC,Cotonou,Benin
19,19,5589,BOKO P,BOKO,P,Ctr Rech Entomol Cotonou,Cotonou,Benin
19,19,1629,BOKO P,BOKO,PELAGIE,,,
19,19,45,BOKO P,BOKO,P,,,
19,19,795,BOKO P M,BOKO,PELAGIE M,Ctr Rech Entomol Cotonou,Cotonou 06,Benin
19,19,1705,BOKO P M,BOKO,P M,Ctr Rech Entomol Cotonou,Cotonou,Benin
19,19,794,BOKO P M,BOKO,PELAGIE M,,,
19,19,1704,BOKO P M,BOKO,P M,,,
20,20,5591,ODJO A,ODJO,A,PAMVERC,Moshi,Tanzania
20,20,1254,ODJO A,ODJO,ABIBATOU,Minist Hlth  Ctr Rech Entomol Cotonou,Cotonou,Benin
20,20,1631,ODJO A,ODJO,ABIBATOU,Ctr Rech Entomol Cotonou,Cotonou,Benin
20,20,5160,ODJO A,ODJO,ABIBATOU,Minist Sante  Lab Natl  CREC,Cotonou 06,Benin
20,20,5972,ODJO A,ODJO,ABIBATOU,CREC,Cotonou,Benin
20,20,6226,ODJO A,ODJO,ABIBATOU,Minist Sante  Lab Natl  Ctr Rech Entomol Cotonou,Cotonou,Benin
20,20,2709,ODJO A,ODJO,ABIBATHOU,Ctr Rech Entomol Cotonou,Cotonou,Benin
20,20,5659,ODJO A,ODJO,ABIBATHOU,Minist Sante  CREC Labs  Ctr Rech Entomolog Cotonou  Nat Lab,Cotonou 06,Benin
20,20,103,ODJO A,ODJO,ABIBATH,Minist Hlth  Ctr Rech Entomol Cotonou  BP 2604,Cotonou 06,Benin
20,20,2772,ODJO A,ODJO,ABIBA,Ctr Rech Entomol Cotonou,Cotonou,Benin
20,20,48,ODJO A,ODJO,A,CREC,Cotonou,Benin
20,20,1708,ODJO A,ODJO,A,Ctr Rech Entomol Cotonou,Cotonou,Benin
20,20,5590,ODJO A,ODJO,A,PAMVERC,Cotonou,Benin
20,20,1253,ODJO A,ODJO,ABIBATOU,,,
20,20,5658,ODJO A,ODJO,ABIBATHOU,,,
20,20,102,ODJO A,ODJO,ABIBATH,,,
20,20,2771,ODJO A,ODJO,ABIBA,,,
20,20,47,ODJO A,ODJO,A,,,
21,21,5593,METONNOU C,METONNOU,C,PAMVERC,Moshi,Tanzania
21,21,1707,METONNOU C,METONNOU,C,Ctr Rech Entomol Cotonou,Cotonou,Benin
21,21,5592,METONNOU C,METONNOU,C,PAMVERC,Cotonou,Benin
21,21,1706,METONNOU C,METONNOU,C,,,
21,21,50,METONNOU C G,METONNOU,C G,CREC,Cotonou,Benin
21,21,49,METONNOU C G,METONNOU,C G,,,
22,22,1689,IRISH S,IRISH,SETH,London Sch Hyg & Trop Med,London WC1E 7HT,England
22,22,4174,IRISH S,IRISH,SETH,London Sch Hyg & Trop Med,London WC1,England
22,22,5195,IRISH S,IRISH,SETH,London Sch Hyg & Trop Med,London,England
22,22,51,IRISH S,IRISH,S,London Sch Hyg & Trop Med,London WC1E 7HT,England
22,22,5584,IRISH S,IRISH,S,Univ London London Sch Hyg & Trop Med,London WC1E 7HT,England
22,22,5585,IRISH S,IRISH,S,Ctr Rech Entomol Cotonou,Cotonou,Benin
22,22,1688,IRISH S,IRISH,SETH,,,
22,22,3134,IRISH S R,IRISH,SETH R,London Sch Hyg & Trop Med,London WC1E 7HT,England
22,22,5956,IRISH S R,IRISH,SETH R,Univ London London Sch Hyg & Trop Med  Dept Infect & Trop Dis,London WC1E 7HT,England
22,22,1701,IRISH S R,IRISH,S R,Univ London London Sch Hyg & Trop Med,London WC1E 7HT,England
22,22,1702,IRISH S R,IRISH,S R,Ctr Rech Entomol Cotonou,Cotonou,Benin
22,22,3133,IRISH S R,IRISH,SETH R,,,
23,23,862,MOSHA F,MOSHA,F,,,
23,23,2043,MOSHA F W,MOSHA,FRANKLIN W,Kilimanjaro Christian Med Univ Coll  Dept Entomol & Parasitol  Moshi,Kilimanjaro,Tanzania
23,23,2044,MOSHA F W,MOSHA,FRANKLIN W,Pan African Malaria Vector Res Consortium  PAMVERC,Moshi,Tanzania
23,23,3076,MOSHA F W,MOSHA,FRANKLIN W,Pan African Malaria Vector Res Consortium PAMVERC,Moshi,Tanzania
23,23,5084,MOSHA F W,MOSHA,FRANKLIN W,Tumaini Univ  Kilimanjaro Christian Med Coll,Moshi,Tanzania
23,23,5087,MOSHA F W,MOSHA,FRANKLIN W,Pan African Malaria Vector Res Consortium,Muheza,Tanzania
23,23,54,MOSHA F W,MOSHA,F W,Tumaini Univ  Kilimanjaro Christian Med Coll,Moshi,Tanzania
23,23,5085,MOSHA F W,MOSHA,FRANKLIN W,London Sch Hyg & Trop Med,London WC1,England
23,23,5086,MOSHA F W,MOSHA,FRANKLIN W,Pan African Malaria Vector Res Consortium,Cotonou,Benin
23,23,2042,MOSHA F W,MOSHA,FRANKLIN W,,,
23,23,53,MOSHA F W,MOSHA,F W,,,
24,24,109,ROWLAND M,ROWLAND,MARK,London Sch Hyg & Trop Med,London WC1E 7HT,England
24,24,110,ROWLAND M,ROWLAND,MARK,Pan African Malaria Vector Res Consortium,London WC1E 7HT,England
24,24,667,ROWLAND M,ROWLAND,MARK,London Sch Hyg & Trop Med,London WC1,England
24,24,1259,ROWLAND M,ROWLAND,MARK,London Sch Hyg & Trop Med,London,England
24,24,1260,ROWLAND M,ROWLAND,MARK,Pan African Malaria Vector Res Consortium PAMVERC,London,England
24,24,2686,ROWLAND M,ROWLAND,MARK,Pan African Malaria Vector Res Consortium,London,England
24,24,2710,ROWLAND M,ROWLAND,MARK,Univ London London Sch Hyg & Trop Med,London WC1E 7HT,England
24,24,5490,ROWLAND M,ROWLAND,MARK,London Sch Hyg & Trop Med  Dept Dis Control,London WC1E 7HT,England
24,24,5662,ROWLAND M,ROWLAND,MARK,Univ London London Sch Hyg & Trop Med  Dept Infect & Trop Dis,London WC1E 7HT,England
24,24,5773,ROWLAND M,ROWLAND,MARK,London Sch Hyg & Trop Med  Malaria Ctr,London WC1,England
24,24,1710,ROWLAND M,ROWLAND,M,Univ London London Sch Hyg & Trop Med,London WC1E 7HT,England
24,24,2160,ROWLAND M,ROWLAND,MARK,,,
24,24,205,ROWLAND M,ROWLAND,M,,,
24,24,2046,ROWLAND M W,ROWLAND,MARK W,Pan African Malaria Vector Res Consortium  PAMVERC,Moshi,Tanzania
24,24,3077,ROWLAND M W,ROWLAND,MARK W,Pan African Malaria Vector Res Consortium PAMVERC,Moshi,Tanzania
24,24,5091,ROWLAND M W,ROWLAND,MARK W,Pan African Malaria Vector Res Consortium,Muheza,Tanzania
