Id,init_name,last_name,first_name,affiliation,city,country
25,ADEHAN S,ADEHAN,SAFIOU,Ecole Polytech Abomey Calavi  URBPSA  Lab Rech Biol Appl  01 BP 2009,Cotonou,Benin
26,ADAKAL H,ADAKAL,HASSANE,,,
27,ADAKAL H,ADAKAL,HASSANE,Univ Dan Dicko Dan Koulodo  Dept Sci & Tech Elevage DSTE FASE  BP 465,Maradi,Niger
28,DAYO G K,DAYO,GUIGUIGBAZAKOSSIGAN,,,
29,ZOUNGRANA S,ZOUNGRANA,SEBASTIEN,,,
30,ZOUNGRANA S,ZOUNGRANA,SEBASTIEN,Ctr Int Rech Dev Elevage Zone Subhumide CIRDES  Unite Rech Bases Biol Lutte Integree URBIO  559 3-51 Ave Gouverneur Louveau 01BP 454,Bobo Dioulasso 01,Burkina Faso
31,FAROUGOU S,FAROUGOU,SOUAIBOU,Ecole Polytech Abomey Calavi  URBPSA  Lab Rech Biol Appl  01 BP 2009,Cotonou,Benin
32,CHEVILLON C,CHEVILLON,CHRISTINE,,,
33,CHEVILLON C,CHEVILLON,CHRISTINE,IRD  UR Malad Infect & Vecteurs Ecol Genet Evol & Cont,Montpellier,France
34,CHEVILLON C,CHEVILLON,CHRISTINE,Univ Montpellier  CNRS  UMR MIVEGEC 5290,F-34059 Montpellier,France
35,OXBOROUGH R M,OXBOROUGH,R M,London Sch Hyg & Trop Med,London WC1E 7HT,England
36,OXBOROUGH R M,OXBOROUGH,R M,Tumaini Univ  Kilimanjaro Christian Med Coll,Moshi,Tanzania
37,KITAU J,KITAU,J,,,
38,KITAU J,KITAU,J,Tumaini Univ  Kilimanjaro Christian Med Coll,Moshi,Tanzania
39,MATOWO J,MATOWO,J,,,
40,MATOWO J,MATOWO,J,Tumaini Univ  Kilimanjaro Christian Med Coll,Moshi,Tanzania
41,MNDEME R,MNDEME,R,,,
42,MNDEME R,MNDEME,R,Tumaini Univ  Kilimanjaro Christian Med Coll,Moshi,Tanzania
43,FESTON E,FESTON,E,,,
44,FESTON E,FESTON,E,Tumaini Univ  Kilimanjaro Christian Med Coll,Moshi,Tanzania
45,BOKO P,BOKO,P,,,
46,BOKO P,BOKO,P,CREC,Cotonou,Benin
47,ODJO A,ODJO,A,,,
48,ODJO A,ODJO,A,CREC,Cotonou,Benin
49,METONNOU C G,METONNOU,C G,,,
50,METONNOU C G,METONNOU,C G,CREC,Cotonou,Benin
51,IRISH S,IRISH,S,London Sch Hyg & Trop Med,London WC1E 7HT,England
52,NGUESSAN R,NGUESSAN,R,,,
53,MOSHA F W,MOSHA,F W,,,
54,MOSHA F W,MOSHA,F W,Tumaini Univ  Kilimanjaro Christian Med Coll,Moshi,Tanzania
55,ROWLAND M W,ROWLAND,M W,London Sch Hyg & Trop Med,London WC1E 7HT,England
56,MOIROUX N,MOIROUX,NICOLAS,IRD  CNRS 5290  IRD 224  MIVEGEC UM1 UM2,Cotonou,Benin
57,MOIROUX N,MOIROUX,NICOLAS,IRD  CNRS 5290  IRD 224  MIVEGEC UM1 UM2,Montpellier,France
58,MOIROUX N,MOIROUX,NICOLAS,CREC  Minist Sante,Montpellier,France
59,DAMIEN G B,DAMIEN,GEORGIA B,IRD  CNRS 5290  IRD 224  MIVEGEC UM1 UM2,Cotonou,Benin
60,DAMIEN G B,DAMIEN,GEORGIA B,CREC  Minist Sante,Montpellier,France
61,EGROT M,EGROT,MARC,IRD  CNRS 5290  IRD 224  MIVEGEC UM1 UM2,Cotonou,Benin
62,EGROT M,EGROT,MARC,CREC  Minist Sante,Montpellier,France
63,DJENONTIN A,DJENONTIN,ARMEL,IRD  CNRS 5290  IRD 224  MIVEGEC UM1 UM2,Cotonou,Benin
64,DJENONTIN A,DJENONTIN,ARMEL,CREC  Minist Sante,Montpellier,France
65,DJENONTIN A,DJENONTIN,ARMEL,Univ dAbomey Calavi  Fac Sci & Tech,Montpellier,France
66,CHANDRE F,CHANDRE,FABRICE,,,
67,CHANDRE F,CHANDRE,FABRICE,IRD  CNRS 5290  IRD 224  MIVEGEC UM1 UM2,Montpellier,France
68,CORBEL V,CORBEL,VINCENT,,,
69,CORBEL V,CORBEL,VINCENT,IRD  CNRS 5290  IRD 224  MIVEGEC UM1 UM2,Montpellier,France
70,CORBEL V,CORBEL,VINCENT,Kasetsart Univ  Dept Entomol,Bangkok,Thailand
71,KILLEEN G F,KILLEEN,GERRY F,,,
72,KILLEEN G F,KILLEEN,GERRY F,Ifakara Hlth Inst  Environm Hlth & Ecol Sci Themat Grp,Ifakara,Tanzania
73,KILLEEN G F,KILLEEN,GERRY F,Univ Liverpool  Liverpool Sch Trop Med  Vector Biol Dept  Liverpool L3 5QA,Merseyside,England
74,PENNETIER C,PENNETIER,CEDRIC,IRD  CNRS 5290  IRD 224  MIVEGEC UM1 UM2,Cotonou,Benin
75,PENNETIER C,PENNETIER,CEDRIC,CREC  Minist Sante,Montpellier,France
76,DJEGBE I,DJEGBE,INNOCENT,Univ Parakou  Ecole Normale Super Natitingou,Parakou,Benin
77,AGOSSA F R,AGOSSA,FIACRE R,,,
78,AGOSSA F R,AGOSSA,FIACRE R,Ctr Rech Entomol Cotonou,Cotonou,Benin
79,AGOSSA F R,AGOSSA,FIACRE R,Univ Abomey Calavi  Fac Sci & Tech FAST  Dept Zool,Cotonou,Benin
80,JONES C M,JONES,CHRISTOPHER M,,,
81,JONES C M,JONES,CHRISTOPHER M,Res Harpenden  Insect Migrat & Spatial Ecol  Harpenden AL5 2JQ,Herts,England
82,JONES C M,JONES,CHRISTOPHER M,Res Harpenden  Grp AgroEcol Rothamsted  Harpenden AL5 2JQ,Herts,England
83,POUPARDIN R,POUPARDIN,RODOLPHE,,,
84,POUPARDIN R,POUPARDIN,RODOLPHE,Univ Liverpool  Liverpool Sch Trop Med  Vector Grp  Liverpool L3 5QA,Merseyside,England
85,CORNELIE S,CORNELIE,SYLVIE,,,
86,CORNELIE S,CORNELIE,SYLVIE,UM1 CNRS 5290 IRD 224  Inst Rech Dev,Cotonou,Benin
87,CORNELIE S,CORNELIE,SYLVIE,Ctr Rech Entomol Cotonou,Cotonou,Benin
88,AKOGBETO M,AKOGBETO,MARTIN,,,
89,AKOGBETO M,AKOGBETO,MARTIN,Ctr Rech Entomol Cotonou,Cotonou,Benin
90,AKOGBETO M,AKOGBETO,MARTIN,Univ Abomey Calavi  Fac Sci & Tech FAST  Dept Zool,Cotonou,Benin
91,RANSON H,RANSON,HILARY,,,
92,RANSON H,RANSON,HILARY,Univ Liverpool  Liverpool Sch Trop Med  Vector Grp  Liverpool L3 5QA,Merseyside,England
93,CORBEL V,CORBEL,VINCENT,UM1 CNRS 5290 IRD 224  Inst Rech Dev,Cotonou,Benin
94,CORBEL V,CORBEL,VINCENT,Kasetsart Univ  Dept Entomol  Fac Agr,Bangkok 10900,Thailand
95,NGUFOR C,NGUFOR,CORINE,London Sch Hyg & Trop Med,London WC1E 7HT,England
96,NGUFOR C,NGUFOR,CORINE,Minist Hlth  Ctr Rech Entomol Cotonou  BP 2604,Cotonou 06,Benin
97,NGUFOR C,NGUFOR,CORINE,Pan African Malaria Vector Res Consortium,London WC1E 7HT,England
98,FAGBOHOUN J,FAGBOHOUN,JOSIAS,,,
99,FAGBOHOUN J,FAGBOHOUN,JOSIAS,Minist Hlth  Ctr Rech Entomol Cotonou  BP 2604,Cotonou 06,Benin
100,TODJINOU D,TODJINOU,DAMIEN,,,
101,TODJINOU D,TODJINOU,DAMIEN,Minist Hlth  Ctr Rech Entomol Cotonou  BP 2604,Cotonou 06,Benin
102,ODJO A,ODJO,ABIBATH,,,
103,ODJO A,ODJO,ABIBATH,Minist Hlth  Ctr Rech Entomol Cotonou  BP 2604,Cotonou 06,Benin
104,MALONE D,MALONE,DAVID,,,
105,MALONE D,MALONE,DAVID,Innovat Vector Control Consortium  Liverpool L3 5QA,Merseyside,England
106,ISMAIL H,ISMAIL,HANAFY,,,
107,ISMAIL H,ISMAIL,HANAFY,Univ Liverpool Liverpool Sch Trop Med  Liverpool L3 5QA,Merseyside,England
108,AKOGBETO M,AKOGBETO,MARTIN,Minist Hlth  Ctr Rech Entomol Cotonou  BP 2604,Cotonou 06,Benin
109,ROWLAND M,ROWLAND,MARK,London Sch Hyg & Trop Med,London WC1E 7HT,England
110,ROWLAND M,ROWLAND,MARK,Pan African Malaria Vector Res Consortium,London WC1E 7HT,England
111,HOUZE S,HOUZE,SANDRINE,Paris Descartes Univ  Hop Bichat Claude Bernard  AP HP  Parasitol Lab EA209,F-75018 Paris,France
112,BOLY M D,BOLY,MAINOUMATA DICKO,,,
113,BOLY M D,BOLY,MAINOUMATA DICKO,IRD  Mother & Child Hlth Trop Res Unit,Cotonou,Benin
114,LE BRAS J,LE BRAS,JACQUES,Paris Descartes Univ  Hop Bichat Claude Bernard  AP HP  Parasitol Lab EA209,F-75018 Paris,France
115,DELORON P,DELORON,PHILIPPE,,,
116,DELORON P,DELORON,PHILIPPE,IRD  Mother & Child Hlth Trop Res Unit,F-75005 Paris,France
117,FAUCHER J F,FAUCHER,JEANFRANCOIS,,,
118,NIELSEN M A,NIELSEN,MORTEN A,Univ Copenhagen  Ctr Med Parasitol  Dept Immunol & Microbiol  Fac Hlth & Med Sci,Copenhagen,Denmark
119,NIELSEN M A,NIELSEN,MORTEN A,Rigshosp  Dept Infect Dis  Copenhagen Univ Hosp,DK-2100 Copenhagen,Denmark
120,RESENDE M,RESENDE,MAFALDA,Univ Copenhagen  Ctr Med Parasitol  Dept Immunol & Microbiol  Fac Hlth & Med Sci,Copenhagen,Denmark
121,RESENDE M,RESENDE,MAFALDA,Rigshosp  Dept Infect Dis  Copenhagen Univ Hosp,DK-2100 Copenhagen,Denmark
122,DE JONGH W A,DE JONGH,WILLEM A,,,
123,DE JONGH W A,DE JONGH,WILLEM A,SCION DTU Sci Pk  Biotechnol ExpreS2,Horsholm,Denmark
124,DITLEV S B,DITLEV,SISSE B,Univ Copenhagen  Ctr Med Parasitol  Dept Immunol & Microbiol  Fac Hlth & Med Sci,Copenhagen,Denmark
125,DITLEV S B,DITLEV,SISSE B,Rigshosp  Dept Infect Dis  Copenhagen Univ Hosp,DK-2100 Copenhagen,Denmark
126,MORDMULLER B,MORDMUELLER,BENJAMIN,,,
127,MORDMULLER B,MORDMUELLER,BENJAMIN,Univ Tubingen  Inst Tropenmed,Tubingen,Germany
128,MORDMULLER B,MORDMUELLER,BENJAMIN,Ctr Rech Med Lambarene,Lambarene,Gabon
129,HOUARD S,HOUARD,SOPHIE,,,
130,HOUARD S,HOUARD,SOPHIE,Univ Klinikum Heidelberg  European Vaccine Initiat,Heidelberg,Germany
131,NDAM N T,NDAM,NICAISE TUIKUE,,,
132,NDAM N T,NDAM,NICAISE TUIKUE,Inst Rech Dev  Mere & Enfant Face Infect Trop UMR216,Paris,France
133,NDAM N T,NDAM,NICAISE TUIKUE,Univ Paris 05  PRES Sorbonne Paris Cite,Paris,France
134,AGERBAEK M O,AGERBAEK,METTE O,Univ Copenhagen  Ctr Med Parasitol  Dept Immunol & Microbiol  Fac Hlth & Med Sci,Copenhagen,Denmark
135,AGERBAEK M O,AGERBAEK,METTE O,Rigshosp  Dept Infect Dis  Copenhagen Univ Hosp,DK-2100 Copenhagen,Denmark
136,HAMBORG M,HAMBORG,METTE,Univ Copenhagen  Ctr Med Parasitol  Dept Immunol & Microbiol  Fac Hlth & Med Sci,Copenhagen,Denmark
137,HAMBORG M,HAMBORG,METTE,Rigshosp  Dept Infect Dis  Copenhagen Univ Hosp,DK-2100 Copenhagen,Denmark
138,MASSOUGBODJI A,MASSOUGBODJI,ACHILLE,,,
139,MASSOUGBODJI A,MASSOUGBODJI,ACHILLE,Univ Abomey Calavi  Fac Sci Sante  Ctr Etud & Rech Paludisme Associe Grossesse & Enf,Cotonou,Benin
140,ISSIFOU S,ISSIFOU,SADDOU,,,
141,ISSIFOU S,ISSIFOU,SADDOU,Univ Abomey Calavi  Fac Sci Sante  Ctr Etud & Rech Paludisme Associe Grossesse & Enf,Cotonou,Benin
142,STROBAEK A,STROBAEK,ANETTE,,,
143,STROBAEK A,STROBAEK,ANETTE,SCION DTU Sci Pk  Biotechnol ExpreS2,Horsholm,Denmark
144,POULSEN L,POULSEN,LARS,,,
145,POULSEN L,POULSEN,LARS,SCION DTU Sci Pk  Biotechnol ExpreS2,Horsholm,Denmark
146,LEROY O,LEROY,ODILE,,,
147,LEROY O,LEROY,ODILE,Univ Klinikum Heidelberg  European Vaccine Initiat,Heidelberg,Germany
148,KREMSNER P G,KREMSNER,PETER G,,,
149,KREMSNER P G,KREMSNER,PETER G,Univ Tubingen  Inst Tropenmed,Tubingen,Germany
150,KREMSNER P G,KREMSNER,PETER G,Ctr Rech Med Lambarene,Lambarene,Gabon
151,CHIPPAUX J P,CHIPPAUX,JEANPHILIPPE,,,
152,LUTY A J F,LUTY,ADRIAN J F,,,
153,LUTY A J F,LUTY,ADRIAN J F,Inst Rech Dev  Mere & Enfant Face Infect Trop UMR216,Paris,France
154,LUTY A J F,LUTY,ADRIAN J F,Univ Paris 05  PRES Sorbonne Paris Cite,Paris,France
155,LUTY A J F,LUTY,ADRIAN J F,Univ Abomey Calavi  Fac Sci Sante  Ctr Etud & Rech Paludisme Associe Grossesse & Enf,Cotonou,Benin
156,DELORON P,DELORON,PHILIPPE,Inst Rech Dev  Mere & Enfant Face Infect Trop UMR216,Paris,France
157,DELORON P,DELORON,PHILIPPE,Univ Paris 05  PRES Sorbonne Paris Cite,Paris,France
158,THEANDER T G,THEANDER,THOR G,Univ Copenhagen  Ctr Med Parasitol  Dept Immunol & Microbiol  Fac Hlth & Med Sci,Copenhagen,Denmark
159,THEANDER T G,THEANDER,THOR G,Rigshosp  Dept Infect Dis  Copenhagen Univ Hosp,DK-2100 Copenhagen,Denmark
160,DYRING C,DYRING,CHARLOTTE,,,
161,DYRING C,DYRING,CHARLOTTE,SCION DTU Sci Pk  Biotechnol ExpreS2,Horsholm,Denmark
162,SALANTI A,SALANTI,ALI,Univ Copenhagen  Ctr Med Parasitol  Dept Immunol & Microbiol  Fac Hlth & Med Sci,Copenhagen,Denmark
163,SALANTI A,SALANTI,ALI,Rigshosp  Dept Infect Dis  Copenhagen Univ Hosp,DK-2100 Copenhagen,Denmark
164,DECHAVANNE C,DECHAVANNE,CELIA,Inst Rech Dev  UMR Mere & Enfant Face Infect Trop 216,Paris,France
165,DECHAVANNE C,DECHAVANNE,CELIA,Univ Paris 05  Fac Pharm  PRES Sorbonne Paris Cite,Paris,France
166,PIERRAT C,PIERRAT,CHARLOTTE,,,
167,PIERRAT C,PIERRAT,CHARLOTTE,Barcelona Ctr Int Hlth Res,Barcelona,Spain
168,RENARD E,RENARD,EMMANUELLE,,,
169,RENARD E,RENARD,EMMANUELLE,Univ Paris 05  Fac Pharm  PRES Sorbonne Paris Cite,Paris,France
170,COSTES B,COSTES,BRUNO,,,
171,COSTES B,COSTES,BRUNO,Hop Henri Mondor  INSERM  U955,F-94010 Creteil,France
172,COSTES B,COSTES,BRUNO,Univ Paris Est  Fac Med,Creteil,France
173,MARTIN N,MARTIN,NATACHA,,,
174,MARTIN N,MARTIN,NATACHA,Hop Henri Mondor  INSERM  U955,F-94010 Creteil,France
175,LADEKPO R,LADEKPO,RODOLPHE,,,
176,LADEKPO R,LADEKPO,RODOLPHE,CERPAGE,Cotonou,Benin
177,AHOUANGNINOU C,AHOUANGNINOU,CLAUDE,,,
178,AHOUANGNINOU C,AHOUANGNINOU,CLAUDE,CERPAGE,Cotonou,Benin
179,ALVAREZ V M,ALVAREZ,VIOLETA MOYA,Inst Rech Dev  UMR Mere & Enfant Face Infect Trop 216,Paris,France
180,ALVAREZ V M,ALVAREZ,VIOLETA MOYA,Univ Paris 05  Fac Pharm  PRES Sorbonne Paris Cite,Paris,France
181,HUYNH B T,BICH,TRAM,,,
182,GARCIA A,GARCIA,ANDRE,Inst Rech Dev  UMR Mere & Enfant Face Infect Trop 216,Paris,France
183,GARCIA A,GARCIA,ANDRE,Univ Paris 05  Fac Pharm  PRES Sorbonne Paris Cite,Paris,France
184,MIGOTNABIAS F,MIGOTNABIAS,FLORENCE,,,
185,YAHOUEDO G A,YAHOUEDO,GILDAS A,Univ Abomey Calavi  Inst Reg Sante Publ,Cotonou,Benin
186,DJOGBENOU L,DJOGBENOU,LUC,Univ Abomey Calavi  Inst Reg Sante Publ,Cotonou,Benin
187,SAIZONOU J,SAIZONOU,JACQUES,Univ Abomey Calavi  Inst Reg Sante Publ,Cotonou,Benin
188,ASSOGBA B S,ASSOGBA,BENOIT S,Univ Abomey Calavi  Inst Reg Sante Publ,Cotonou,Benin
189,MAKOUTODE M,MAKOUTODE,MICHEL,Univ Abomey Calavi  Inst Reg Sante Publ,Cotonou,Benin
190,GILLES J R L,GILLES,JEREMIE R L,,,
191,GILLES J R L,GILLES,JEREMIE R L,IAEA  Joint FAO IAEA Div Nucl Tech Food  Insect Pest Control Lab,A-1400 Vienna,Austria
192,MAIGA H,MAIGA,HAMIDOU,,,
193,MAIGA H,MAIGA,HAMIDOU,Ctr Muraz  Inst Rech Sci Sante,Bobo Dioulasso,Burkina Faso
194,MOULINE K,MOULINE,KARINE,,,
195,MOULINE K,MOULINE,KARINE,Ctr Muraz  Inst Rech Sci Sante,Bobo Dioulasso,Burkina Faso
196,MOULINE K,MOULINE,KARINE,IRD  UMR UM1 UM2  CNRS 5290  IRD 224,Montpellier,France
197,SOUKOU B K,SOUKOU,BHONNA K,,,
198,SOUKOU B K,SOUKOU,BHONNA K,CREC,Cotonou,Benin
199,SIMARD F,SIMARD,FREDERIC,,,
200,SIMARD F,SIMARD,FREDERIC,IRD  UMR UM1 UM2  CNRS 5290  IRD 224,Montpellier,France
201,CORBEL V,CORBEL,V,,,
202,BONNET J,BONNET,J,,,
203,AKOGBETO M,AKOGBETO,M,,,
204,YATES A,YATES,A,,,
205,ROWLAND M,ROWLAND,M,,,
206,DENOEUDNDAM L,DENOEUDNDAM,L,,,
207,ROMBY A,ROMBY,A,Inst Rech Dev,Cotonou,Benin
208,FOURCADE C,FOURCADE,C,Inst Rech Dev,Cotonou,Benin
209,AKAKPO J,AKAKPO,J,Inst Rech Dev,Cotonou,Benin
210,AKAKPO J,AKAKPO,J,Ctr Natl Hosp Univ Hubert Koutoukou Maga  Ctr Traitement Ambulatoire  Serv Med Interne,Cotonou,Benin
211,AFANGNIHOUN A,AFANGNIHOUN,A,,,
212,AFANGNIHOUN A,AFANGNIHOUN,A,Hop Zone Suru Lere Ctr Traitement Ambulatoire,Cotonou,Benin
213,ATADOKPEDE F,ATADOKPEDE,F,,,
214,ATADOKPEDE F,ATADOKPEDE,F,Hop Instruct Armees Camp Guezo  Serv Med Interne,Cotonou,Benin
215,DOSSOUGBETE L,DOSSOUGBETE,L,,,
216,DOSSOUGBETE L,DOSSOUGBETE,L,Clin Louis Pasteur,Porto Novo,Benin
217,PERRIN R X,PERRIN,R X,,,
218,GIRARD P M,GIRARD,P M,,,
219,ZANNOU D M,ZANNOU,D MARCEL,,,
220,ZANNOU D M,ZANNOU,D MARCEL,Ctr Natl Hosp Univ Hubert Koutoukou Maga  Ctr Traitement Ambulatoire  Serv Med Interne,Cotonou,Benin
221,ZANNOU D M,ZANNOU,D MARCEL,Univ dAbomey Calavi  Fac Sci sante,Cotonou,Benin
222,COT M,COT,M,,,
223,COT M,COT,M,Inst Rech Dev,Paris,France
224,DJENONTIN A,DJENONTIN,ARMEL,CREC  IRD  Unite Rech 016,Cotonou,Benin
225,DABIRE K R,DABIRE,K ROCH,,,
226,CHABI J,CHABI,JOSEPH,,,
227,BALDET T,BALDET,THIERRY,,,
228,MOUSSILIOU A,MOUSSILIOU,AZIZATH,Inst Rech Dev  Mere & Enfant Face Infect Trop UMR216  Fac Sci Biol & Pharmaceut,F-75006 Paris,France
229,MOUSSILIOU A,MOUSSILIOU,AZIZATH,Univ Paris 05  PRES Sorbonne Paris Cite  Fac Pharm,F-75270 Paris,France
230,MOUSSILIOU A,MOUSSILIOU,AZIZATH,Univ Abomey Calavi  Fac Sci Sante  Ctr Etud & Rech Paludisme Associe Grossesse & Enf,Cotonou 01,Benin
231,DE TOVE Y S S,DE TOVE,YOLANDE SISSINTOSAVI,,,
232,DORITCHAMOU J,DORITCHAMOU,JUSTIN,Inst Rech Dev  Mere & Enfant Face Infect Trop UMR216  Fac Sci Biol & Pharmaceut,F-75006 Paris,France
233,DORITCHAMOU J,DORITCHAMOU,JUSTIN,Univ Paris 05  PRES Sorbonne Paris Cite  Fac Pharm,F-75270 Paris,France
234,DORITCHAMOU J,DORITCHAMOU,JUSTIN,Univ Abomey Calavi  Fac Sci Sante  Ctr Etud & Rech Paludisme Associe Grossesse & Enf,Cotonou 01,Benin
235,LUTY A J F,LUTY,ADRIAN J F,Inst Rech Dev  Mere & Enfant Face Infect Trop UMR216  Fac Sci Biol & Pharmaceut,F-75006 Paris,France
236,LUTY A J F,LUTY,ADRIAN J F,Univ Paris 05  PRES Sorbonne Paris Cite  Fac Pharm,F-75270 Paris,France
237,MASSOUGBODJI A,MASSOUGBODJI,ACHILLE,Univ Abomey Calavi  Fac Sci Sante  Ctr Etud & Rech Paludisme Associe Grossesse & Enf,Cotonou 01,Benin
238,ALIFRANGIS M,ALIFRANGIS,MICHAEL,,,
239,ALIFRANGIS M,ALIFRANGIS,MICHAEL,Univ Copenhagen  Dept Int Hlth Immunol & Microbiol  Ctr Med Parasitol  Fac Hlth,DK-1014 Copenhagen K,Denmark
240,ALIFRANGIS M,ALIFRANGIS,MICHAEL,Rigshosp  Copenhagen Univ Hosp  Dept Infect Dis,DK-1014 Copenhagen K,Denmark
241,DELORON P,DELORON,PHILIPPE,Inst Rech Dev  Mere & Enfant Face Infect Trop UMR216  Fac Sci Biol & Pharmaceut,F-75006 Paris,France
242,DELORON P,DELORON,PHILIPPE,Univ Paris 05  PRES Sorbonne Paris Cite  Fac Pharm,F-75270 Paris,France
243,NDAM N T,NDAM,NICAISE TUIKUE,Inst Rech Dev  Mere & Enfant Face Infect Trop UMR216  Fac Sci Biol & Pharmaceut,F-75006 Paris,France
244,NDAM N T,NDAM,NICAISE TUIKUE,Univ Paris 05  PRES Sorbonne Paris Cite  Fac Pharm,F-75270 Paris,France
245,NDAM N T,NDAM,NICAISE TUIKUE,Univ Abomey Calavi  Fac Sci Sante  Ctr Etud & Rech Paludisme Associe Grossesse & Enf,Cotonou 01,Benin
246,DODERERLANG C,DODERERLANG,CECILE,,,
247,ATCHADE P S,ATCHADE,PASCAL S,,,
248,ATCHADE P S,ATCHADE,PASCAL S,Univ Abomey Calavi  Lab Biochim & Biol Mol,Cotonou,Benin
249,MECKERT L,MECKERT,LYDIA,Univ Strasbourg  Inst Parasitol & Pathol Tropicale,F-67000 Strasbourg,France
250,HAAR E,HAAR,ELODIE,Univ Strasbourg  Inst Parasitol & Pathol Tropicale,F-67000 Strasbourg,France
251,PERROTEY S,PERROTEY,SYLVIE,Univ Strasbourg  Inst Parasitol & Pathol Tropicale,F-67000 Strasbourg,France
252,FILISETTI D,FILISETTI,DENIS,Univ Strasbourg  Inst Parasitol & Pathol Tropicale,F-67000 Strasbourg,France
253,ABOUBACAR A,ABOUBACAR,AHMED,Univ Strasbourg  Inst Parasitol & Pathol Tropicale,F-67000 Strasbourg,France
254,PFAFF A W,PFAFF,ALEXANDER W,Univ Strasbourg  Inst Parasitol & Pathol Tropicale,F-67000 Strasbourg,France
255,BRUNET J,BRUNET,JULIE,Univ Strasbourg  Inst Parasitol & Pathol Tropicale,F-67000 Strasbourg,France
256,CHABI N W,CHABI,NICODEME W,,,
257,CHABI N W,CHABI,NICODEME W,Univ Abomey Calavi  Lab Biochim & Biol Mol,Cotonou,Benin
258,AKPOVI C D,AKPOVI,CASIMIR D,,,
259,AKPOVI C D,AKPOVI,CASIMIR D,Univ Abomey Calavi  Lab Biochim & Biol Mol,Cotonou,Benin
260,ANANI L,ANANI,LUDOVIC,,,
261,ANANI L,ANANI,LUDOVIC,Minist Sante  Agence Natl Transfus Sanguine,Cotonou,Benin
262,BIGOT A,BIGOT,ANDRE,,,
263,BIGOT A,BIGOT,ANDRE,Minist Sante  Agence Natl Transfus Sanguine,Cotonou,Benin
264,SANNI A,SANNI,AMBALIOU,,,
265,SANNI A,SANNI,AMBALIOU,Univ Abomey Calavi  Lab Biochim & Biol Mol,Cotonou,Benin
266,CANDOLFI E,CANDOLFI,ERMANNO,Univ Strasbourg  Inst Parasitol & Pathol Tropicale,F-67000 Strasbourg,France
267,ABDULLA S,ABDULLA,SALIM,Ifakara Hlth Inst,Dar Es Salaam,Tanzania
268,ADAM I,ADAM,ISHAG,,,
269,ADAM I,ADAM,ISHAG,Univ Khartoum  Fac Med,Khartoum,Sudan
270,ADJEI G O,ADJEI,GEORGE O,,,
271,ADJEI G O,ADJEI,GEORGE O,Univ Ghana  Sch Med  Ctr Trop Clin Pharmacol & Therapeut,Accra,Ghana
272,ADJUIK M A,ADJUIK,MARTIN A,,,
273,ADJUIK M A,ADJUIK,MARTIN A,INDEPTH Network Secretariat,Accra,Ghana
274,ALEMAYEHU B,ALEMAYEHU,BEREKET,,,
275,ALEMAYEHU B,ALEMAYEHU,BEREKET,Int Ctr AIDS Care & Treatment Programs,Addis Ababa,Ethiopia
276,ALLAN R,ALLAN,RICHARD,,,
