Cluster ID,confidence_score,Id,init_name,full_name,affiliation,city,country,canonical_city,canonical_country,canonical_affiliation,canonical_init_name,canonical_full_name,canonical_Id
4,0.99423463642597198,22,ABIOU G,ABIOU GRACE,Parasitol,Cotonou,Benin,cotonou,benin,fac hlth sci dept parasitol,abiou g,abiou grace,20
1429,,23,ABLEY S,ABLEY S,,,,,,,,,
5,0.994922,24,ABOUBACAR A,ABOUBACAR AHMED,Univ Strasbourg  Inst Parasitol & Pathol Tropicale,F-67000 Strasbourg,France,f-67000 strasbourg,france,univ strasbourg inst parasitol & pathol tropicale,aboubacar a,aboubacar ahmed,24
5,0.994922,25,ABOUBACAR A,ABOUBACAR AHMED,,,,f-67000 strasbourg,france,univ strasbourg inst parasitol & pathol tropicale,aboubacar a,aboubacar ahmed,24
6,0.994922,26,ABOUBAKAR S,ABOUBAKAR SIDICK,,,,cotonou,benin,crec,aboubakar s,aboubakar sidick,26
6,0.994922,27,ABOUBAKAR S,ABOUBAKAR SIDICK,CREC,Cotonou,Benin,cotonou,benin,crec,aboubakar s,aboubakar sidick,26
7,0.994922,28,ABRAHAM J P,ABRAHAM JERRY P,,,,san antonio,tx usa,univ texas san antonio sch med,abraham j p,abraham jerry p,28
7,0.994922,29,ABRAHAM J P,ABRAHAM JERRY P,Univ Texas San Antonio  Sch Med,San Antonio,TX USA,san antonio,tx usa,univ texas san antonio sch med,abraham j p,abraham jerry p,28
8,0.994922,30,ABUBAKAR I,ABUBAKAR IBRAHIM,,,,london,england,ucl,abubakar i,abubakar ibrahim,30
8,0.994922,31,ABUBAKAR I,ABUBAKAR IBRAHIM,UCL,London,England,london,england,ucl,abubakar i,abubakar ibrahim,30
1430,,32,ABURADDAD L J,ABURADDAD LAITH J,,,,,,,,,
1431,,33,ABURMEILEH N M,ABURMEILEH NIVEEN ME,,,,,,,,,
9,0.75343216657638545,34,ACCROMBESSI G,ACCROMBESSI GEORGES,UAC  Fac Sci & Tech FAST  Lab Phys & Synth Organ Chem LaCOPS,Cotonou,Benin,cotonou,benin,ird,accrombessi m,accrombessi m,44
9,0.96282734274864201,35,ACCROMBESSI M,ACCROMBESSI MANFRED,IRD  Mere & Enfant Face Infect Trop UMR216,Paris,France,cotonou,benin,ird,accrombessi m,accrombessi m,44
9,0.96368849575519566,36,ACCROMBESSI M,ACCROMBESSI MANFRED,Univ Paris 05  PRES Paris Sorbonne Cite,Paris,France,cotonou,benin,ird,accrombessi m,accrombessi m,44
9,0.97276861071586607,37,ACCROMBESSI M,ACCROMBESSI MANFRED,Univ Abomey Calavi  Fac Med Cotonou,Cotonou,Benin,cotonou,benin,ird,accrombessi m,accrombessi m,44
9,0.97279375493526454,38,ACCROMBESSI M,ACCROMBESSI MANFRED,,,,cotonou,benin,ird,accrombessi m,accrombessi m,44
9,0.97381593883037565,39,ACCROMBESSI M,ACCROMBESSI MANFRED,Univ Abomey Calavi  Fac Sci Sante FSS,Cotonou,Benin,cotonou,benin,ird,accrombessi m,accrombessi m,44
9,0.96370443105697634,40,ACCROMBESSI M,ACCROMBESSI MANFRED,Inst Rech Dev IRD,Paris,France,cotonou,benin,ird,accrombessi m,accrombessi m,44
9,0.99090662002563479,41,ACCROMBESSI M,ACCROMBESSI M,Univ Badji Mokhtar  Fac Med,Cotonou,Benin,cotonou,benin,ird,accrombessi m,accrombessi m,44
9,0.97419210076332097,42,ACCROMBESSI M,ACCROMBESSI MANFRED,Univ Abomey Calavi  Fac Sci Sante,Cotonou,Benin,cotonou,benin,ird,accrombessi m,accrombessi m,44
9,0.96378224790096279,43,ACCROMBESSI M,ACCROMBESSI MANFRED,Inst Rech Dev,Paris,France,cotonou,benin,ird,accrombessi m,accrombessi m,44
9,0.9917745858430862,44,ACCROMBESSI M,ACCROMBESSI M,,,,cotonou,benin,ird,accrombessi m,accrombessi m,44
9,0.9917140990495682,45,ACCROMBESSI M,ACCROMBESSI M,Fac Sci Sante,Cotonou,Benin,cotonou,benin,ird,accrombessi m,accrombessi m,44
9,0.99253799617290495,46,ACCROMBESSI M,ACCROMBESSI M,IRD,Paris,France,cotonou,benin,ird,accrombessi m,accrombessi m,44
9,0.96469746530056,47,ACCROMBESSI M,ACCROMBESSI MANFRED,Univ Paris 06,Paris,France,cotonou,benin,ird,accrombessi m,accrombessi m,44
9,0.96386888325214382,48,ACCROMBESSI M,ACCROMBESSI MANFRED,Univ Paris 05  Sorbonne Paris Cite,Paris,France,cotonou,benin,ird,accrombessi m,accrombessi m,44
9,0.97615780830383303,49,ACCROMBESSI M M K,ACCROMBESSI MANFRED M K,,,,cotonou,benin,ird,accrombessi m,accrombessi m,44
9,0.97518792152404787,50,ACCROMBESSI M M K,ACCROMBESSI MANFRED M K,Cotonou Lab Microbiol  Fac Sci Sante,Cotonou,Benin,cotonou,benin,ird,accrombessi m,accrombessi m,44
9,0.94155620336532597,51,ACCROMBESSI M M K,ACCROMBESSI M M K,,,,cotonou,benin,ird,accrombessi m,accrombessi m,44
9,0.93348919153213505,52,ACCROMBESSI M M K,ACCROMBESSI M M K,Fac Sci Sante,Cotonou,Benin,cotonou,benin,ird,accrombessi m,accrombessi m,44
9,0.98107645213603978,53,ACCROMBESSI M M K,ACCROMBESSI MANFRED M K,Fac Sci Sante,Cotonou,Benin,cotonou,benin,ird,accrombessi m,accrombessi m,44
9,0.97855601906776424,54,ACCROMBESSI M M K,ACCROMBESSI MANFRED M K,Fac Sci Sante  Parasitol Lab,Cotonou,Benin,cotonou,benin,ird,accrombessi m,accrombessi m,44
10,0.99492180347442627,55,ACHAN J,ACHAN JANE,,,,kampala,uganda,uganda malaria surveillance project,achan j,achan jane,55
10,0.99457257986068726,56,ACHAN J,ACHAN JANE,Uganda Malaria Surveillance Project,Kampala,Uganda,kampala,uganda,uganda malaria surveillance project,achan j,achan jane,55
10,0.99457257986068726,57,ACHAN J,ACHAN JANE,MRC Unit,Fajara,Gambia,kampala,uganda,uganda malaria surveillance project,achan j,achan jane,55
11,0.994922,58,ACHOKI T,ACHOKI TOM,,,,gaborone,botswana,minist hlth,achoki t,achoki tom,58
11,0.994922,59,ACHOKI T,ACHOKI TOM,Minist Hlth,Gaborone,Botswana,gaborone,botswana,minist hlth,achoki t,achoki tom,58
12,0.994922,60,ADAKAL H,ADAKAL HASSANE,,,,maradi,niger,univ dan dicko dan koulodo dept sci & tech elevage dste fase bp 465,adakal h,adakal hassane,60
12,0.994922,61,ADAKAL H,ADAKAL HASSANE,Univ Dan Dicko Dan Koulodo  Dept Sci & Tech Elevage DSTE FASE  BP 465,Maradi,Niger,maradi,niger,univ dan dicko dan koulodo dept sci & tech elevage dste fase bp 465,adakal h,adakal hassane,60
13,0.99343339602152503,62,ADAM I,ADAM ISHAG,,,,khartoum,sudan,univ khartoum fac med,adam i,adam ishag,62
13,0.99486215909322107,63,ADAM I,ADAM ISHAG,Univ Khartoum  Fac Med,Khartoum,Sudan,khartoum,sudan,univ khartoum fac med,adam i,adam ishag,62
13,0.99343339602152503,64,ADAM I,ADAM I,,,,khartoum,sudan,univ khartoum fac med,adam i,adam ishag,62
13,0.99486215909322107,65,ADAM I,ADAM I,Univ Khartoum  Fac Med,Khartoum,Sudan,khartoum,sudan,univ khartoum fac med,adam i,adam ishag,62
14,0.99515730142593384,66,ADAMOU R,ADAMOU RAFIOU,CERPAGE,Cotonou,Benin,paris,france,cerpage,adamou r,adamou rafiou,66
14,0.99445474147796631,67,ADAMOU R,ADAMOU RAFIOU,MERIT UMR 216 Mere & Enfant Face Infect Trop  Inst Rech Dev,Paris,France,paris,france,cerpage,adamou r,adamou rafiou,66
14,0.99437665939331055,68,ADAMOU R,ADAMOU RAFIOU,Univ Paris 05  COMUE Sorbonne Paris Cite  Fac Sci Pharmaceut & Biol,Paris,France,paris,france,cerpage,adamou r,adamou rafiou,66
15,0.99492180347442627,69,ADECHOUBOU A,ADECHOUBOU ALIOUN,,,,cotonou,benin,programme natl lutte paludisme,adechoubou a,adechoubou alioun,70
15,0.99600470066070557,70,ADECHOUBOU A,ADECHOUBOU ALIOUN,Programme Natl Lutte Paludisme,Cotonou,Benin,cotonou,benin,programme natl lutte paludisme,adechoubou a,adechoubou alioun,70
15,0.99600470066070557,71,ADECHOUBOU A,ADECHOUBOU ALIOUN,Minist Sante  Programme Natl Lutte Conte Paludisme PNLP,Cotonou,Benin,cotonou,benin,programme natl lutte paludisme,adechoubou a,adechoubou alioun,70
16,0.994922,72,ADEDEJI A A,ADEDEJI AHMED ADEBOWALE,,,,bushenyi,uganda,kampala int univ dept pharmacol & toxicol ishaka,adedeji a a,adedeji ahmed adebowale,72
16,0.994922,73,ADEDEJI A A,ADEDEJI AHMED ADEBOWALE,Kampala Int Univ  Dept Pharmacol & Toxicol  Ishaka,Bushenyi,Uganda,bushenyi,uganda,kampala int univ dept pharmacol & toxicol ishaka,adedeji a a,adedeji ahmed adebowale,72
17,0.99439760049184167,74,ADEGNIKA A A,ADEGNIKA AYOLA AKIM,,,,lambarene,gabon,univ tubingen inst trop med,adegnika a a,adegnika ayola a,74
17,0.99247617522875464,75,ADEGNIKA A A,ADEGNIKA AYOLA AKIM,Ctr Rech Med Lambarene,Lambarene,Gabon,lambarene,gabon,univ tubingen inst trop med,adegnika a a,adegnika ayola a,74
17,0.99301958084106445,76,ADEGNIKA A A,ADEGNIKA AYOLA AKIM,Univ Tubingen  Inst Trop Med,Tubingen,Germany,lambarene,gabon,univ tubingen inst trop med,adegnika a a,adegnika ayola a,74
17,0.99452865123748779,77,ADEGNIKA A A,ADEGNIKA AYOLA A,,,,lambarene,gabon,univ tubingen inst trop med,adegnika a a,adegnika ayola a,74
17,0.99350960055987037,78,ADEGNIKA A A,ADEGNIKA AYOLA A,Albert Schweitzer Hosp  Ctr Rech Med Lambarene,Lambarene,Gabon,lambarene,gabon,univ tubingen inst trop med,adegnika a a,adegnika ayola a,74
17,0.99319036801656091,79,ADEGNIKA A A,ADEGNIKA AYOLA A,Univ Tubingen  Inst Trop Med,Tubingen,Germany,lambarene,gabon,univ tubingen inst trop med,adegnika a a,adegnika ayola a,74
17,0.99201790491739905,80,ADEGNIKA A A,ADEGNIKA AYOLA A,Leiden Med Univ Ctr  Dept Parasitol,Leiden,Netherlands,lambarene,gabon,univ tubingen inst trop med,adegnika a a,adegnika ayola a,74
1432,,81,ADEHAN S,ADEHAN SAFIOU,Ecole Polytech Abomey Calavi  URBPSA  Lab Rech Biol Appl  01 BP 2009,Cotonou,Benin,,,,,,
18,0.994922,82,ADEOGUN A,ADEOGUN ADEDAPO,,,,lagos,nigeria,nigerian inst med res publ hlth div,adeogun a,adeogun adedapo,82
18,0.994922,83,ADEOGUN A,ADEOGUN ADEDAPO,Nigerian Inst Med Res  Publ Hlth Div,Lagos,Nigeria,lagos,nigeria,nigerian inst med res publ hlth div,adeogun a,adeogun adedapo,82
19,0.98459191123644507,84,ADEOTHY A,ADEOTHY ADICAT,,,,cotonou,benin,ird,adeothy a,adeothy adicat,84
19,0.98494640986124671,85,ADEOTHY A,ADEOTHY ADICAT,IRD,Cotonou,Benin,cotonou,benin,ird,adeothy a,adeothy adicat,84
19,0.93965909878412879,86,ADEOTHY A A,ADEOTHY ADICATH ADEOLA,,,,cotonou,benin,ird,adeothy a,adeothy adicat,84
19,0.94001359740893042,87,ADEOTHY A A,ADEOTHY ADICATH ADEOLA,Univ Abomey Calavi  Fac Sci Sante,Calavi,Benin,cotonou,benin,ird,adeothy a,adeothy adicat,84
19,0.96889805793762207,88,ADEOTHY A I,ADEOTHY A I,,,,cotonou,benin,ird,adeothy a,adeothy adicat,84
19,0.90954091151555383,89,ADEOTHY A I,ADEOTHY ADICATOUIAI,,,,cotonou,benin,ird,adeothy a,adeothy adicat,84
19,0.93554492791493737,90,ADEOTHY A L,ADEOTHY A L,,,,cotonou,benin,ird,adeothy a,adeothy adicat,84
1433,,91,ADEOTI R,ADEOTI RAZACK,Int Inst Trop Agr  08 BP 0932,Cotonou,Benin,,,,,,
20,0.994922,92,ADEYEMO A O,ADEYEMO AUSTINE OLUFEMI,,,,western area,sierra leone,evidence act mamaye freetown,adeyemo a o,adeyemo austine olufemi,92
20,0.994922,93,ADEYEMO A O,ADEYEMO AUSTINE OLUFEMI,Evidence Act MamaYe  Freetown,Western Area,Sierra Leone,western area,sierra leone,evidence act mamaye freetown,adeyemo a o,adeyemo austine olufemi,92
1434,,94,ADIMAZOYA M,ADIMAZOYA MICHELE,Noguchi Mem Inst Med Res  POB LG 581,Legon,Ghana,,,,,,
1435,,95,ADJAGBAOLAKPO M,ADJAGBAOLAKPO M,,,,,,,,,
21,0.98700737953186035,96,ADJEI G O,ADJEI GEORGE O,,,,accra,ghana,univ ghana sch med ctr trop clin pharmacol & therapeut,adjei g o,adjei george o,96
21,0.99030651648839318,97,ADJEI G O,ADJEI GEORGE O,Univ Ghana  Sch Med  Ctr Trop Clin Pharmacol & Therapeut,Accra,Ghana,accra,ghana,univ ghana sch med ctr trop clin pharmacol & therapeut,adjei g o,adjei george o,96
21,0.98700737953186035,98,ADJEI G O,ADJEI G O,,,,accra,ghana,univ ghana sch med ctr trop clin pharmacol & therapeut,adjei g o,adjei george o,96
21,0.99030651648839318,99,ADJEI G O,ADJEI G O,Univ Ghana  Sch Med  Ctr Trop Clin Pharmacol & Therapeut,Accra,Ghana,accra,ghana,univ ghana sch med ctr trop clin pharmacol & therapeut,adjei g o,adjei george o,96
22,0.994922,100,ADJIBABI C B,ADJIBABI CHERIFATOU BELLO,,,,cotonou,benin,minist sante pnlp,adjibabi c b,adjibabi cherifatou bello,100
22,0.994922,101,ADJIBABI C B,ADJIBABI CHERIFATOU BELLO,Minist Sante  PNLP,Cotonou,Benin,cotonou,benin,minist sante pnlp,adjibabi c b,adjibabi cherifatou bello,100
1436,,102,ADJOBIMEY T,ADJOBIMEY T,,,,,,,,,
23,0.994922,103,ADJUIK M A,ADJUIK MARTIN A,,,,accra,ghana,indepth network secretariat,adjuik m a,adjuik martin a,103
23,0.994922,104,ADJUIK M A,ADJUIK MARTIN A,INDEPTH Network Secretariat,Accra,Ghana,accra,ghana,indepth network secretariat,adjuik m a,adjuik martin a,103
24,0.994922,105,ADOU A K,ADOU ARSENE KOUABLAN,,,,abidjan,cote ivoire,assoc ivoirienne bien etre familial,adou a k,adou arsene kouablan,105
24,0.994922,106,ADOU A K,ADOU ARSENE KOUABLAN,Assoc Ivoirienne Bien Etre Familial,Abidjan,Cote Ivoire,abidjan,cote ivoire,assoc ivoirienne bien etre familial,adou a k,adou arsene kouablan,105
25,0.994922,107,ADOVOHEKPE P,ADOVOHEKPE PAUL,,,,cotonou,benin,unicef benin,adovohekpe p,adovohekpe paul,107
25,0.994922,108,ADOVOHEKPE P,ADOVOHEKPE PAUL,UNICEF Benin,Cotonou,Benin,cotonou,benin,unicef benin,adovohekpe p,adovohekpe paul,107
26,0.994922,109,ADSUAR J C,ADSUAR JOSE C,,,,caceres,spain,univ extremadura,adsuar j c,adsuar jose c,109
26,0.994922,110,ADSUAR J C,ADSUAR JOSE C,Univ Extremadura,Caceres,Spain,caceres,spain,univ extremadura,adsuar j c,adsuar jose c,109
27,0.99411471684773767,111,AFANGNIHOUN A,AFANGNIHOUN A,,,,cotonou,benin,hop zone suru lere ctr traitement ambulatoire,afangnihoun a,afangnihoun a,111
27,0.99534426132837928,112,AFANGNIHOUN A,AFANGNIHOUN A,Hop Zone Suru Lere Ctr Traitement Ambulatoire,Cotonou,Benin,cotonou,benin,hop zone suru lere ctr traitement ambulatoire,afangnihoun a,afangnihoun a,111
27,0.99411471684773767,113,AFANGNIHOUN A,AFANGNIHOUN ALDRIC,,,,cotonou,benin,hop zone suru lere ctr traitement ambulatoire,afangnihoun a,afangnihoun a,111
27,0.99534426132837928,114,AFANGNIHOUN A,AFANGNIHOUN ALDRIC,Hop Zone Suru Lere  Ctr Traitement Ambulatoire,Cotonou,Benin,cotonou,benin,hop zone suru lere ctr traitement ambulatoire,afangnihoun a,afangnihoun a,111
28,0.99492180347442627,115,AFFARA M,AFFARA MUNA,,,,banjul,gambia,mrc labs,affara m,affara muna,115
28,0.99471443891525269,116,AFFARA M,AFFARA MUNA,MRC Labs,Banjul,Gambia,banjul,gambia,mrc labs,affara m,affara muna,115
28,0.99471443891525269,117,AFFARA M,AFFARA MUNA,MRC Unit,Fajara,Gambia,banjul,gambia,mrc labs,affara m,affara muna,115
29,0.994922,118,AFFEDJOU J,AFFEDJOU JACQUELINE,,,,paris,france,univ paris 05 fac pharm sorbonne paris cite pres,affedjou j,affedjou jacqueline,118
29,0.994922,119,AFFEDJOU J,AFFEDJOU JACQUELINE,Univ Paris 05  Fac Pharm  Sorbonne Paris Cite  PRES,Paris,France,paris,france,univ paris 05 fac pharm sorbonne paris cite pres,affedjou j,affedjou jacqueline,118
30,0.994922,120,AFFO A,AFFO ALPHONSE,,,,cotonou,benin,unicef benin,affo a,affo alphonse,120
30,0.994922,121,AFFO A,AFFO ALPHONSE,UNICEF Benin,Cotonou,Benin,cotonou,benin,unicef benin,affo a,affo alphonse,120
31,0.994922,122,AFFO A M,AFFO ALPHONSE MINGNIMON,,,,cotonou,benin,unicef benin,affo a m,affo alphonse mingnimon,122
31,0.994922,123,AFFO A M,AFFO ALPHONSE MINGNIMON,UNICEF Benin,Cotonou,Benin,cotonou,benin,unicef benin,affo a m,affo alphonse mingnimon,122
32,0.994922,124,AGARDH E E,AGARDH EMILIE ELISABET,,,,stockholm,sweden,inst publ hlth sci,agardh e e,agardh emilie elisabet,124
32,0.994922,125,AGARDH E E,AGARDH EMILIE ELISABET,Inst Publ Hlth Sci,Stockholm,Sweden,stockholm,sweden,inst publ hlth sci,agardh e e,agardh emilie elisabet,124
33,0.994922,126,AGBANGO J A,AGBANGO JEAN ANGBALU,,,,kinshasa,zaire,natl malaria control programme,agbango j a,agbango jean angbalu,126
33,0.994922,127,AGBANGO J A,AGBANGO JEAN ANGBALU,Natl Malaria Control Programme,Kinshasa,Zaire,kinshasa,zaire,natl malaria control programme,agbango j a,agbango jean angbalu,126
34,0.994922,128,AGBANI P,AGBANI PIERRE,,,,cotonou,benin,uac fac agron sci fsa lab appl ecol lea,agbani p,agbani pierre,128
34,0.994922,129,AGBANI P,AGBANI PIERRE,UAC  Fac Agron Sci FSA  Lab Appl Ecol LEA,Cotonou,Benin,cotonou,benin,uac fac agron sci fsa lab appl ecol lea,agbani p,agbani pierre,128
1437,,130,AGBANRIN R,AGBANRIN RAMZIATH,CREC,Cotonou 06 BP2604,Benin,,,,,,
35,0.99492180347442627,131,AGBANRINYOUSSOUF R,AGBANRINYOUSSOUF RAMZIATH,,,,cotonou,benin,ctr rech entomol cotonou,agbanrinyoussouf r,agbanrinyoussouf ramziath,131
35,0.99334233999252319,132,AGBANRINYOUSSOUF R,AGBANRINYOUSSOUF RAMZIATH,Ctr Rech Entomol Cotonou,Cotonou,Benin,cotonou,benin,ctr rech entomol cotonou,agbanrinyoussouf r,agbanrinyoussouf ramziath,131
35,0.99334233999252319,133,AGBANRINYOUSSOUF R,AGBANRINYOUSSOUF RAMZIATH,Univ Abomey Calavi  Fac Sci & Tech,Abomey Calavi,Benin,cotonou,benin,ctr rech entomol cotonou,agbanrinyoussouf r,agbanrinyoussouf ramziath,131
1438,,134,AGBO K,AGBO K,,,,,,,,,
1439,,135,AGBOGAN M,AGBOGAN MARC,Ctr Rech Entomol Cotonou,Cotonou,Benin,,,,,,
36,0.9915406227111816,136,AGBOTA G,AGBOTA GINO,IRD  MERIT  UMR216,Paris,France,paris,france,cerpage,agbota g,agbota gino,136
36,0.99138090610504148,137,AGBOTA G,AGBOTA GINO,Paris Descartes Univ  Fac Pharm Paris  COMUE Sorbonne Paris Cite,F-75006 Paris,France,paris,france,cerpage,agbota g,agbota gino,136
36,0.99208011627197268,138,AGBOTA G,AGBOTA GINO,CERPAGE,Cotonou,Benin,paris,france,cerpage,agbota g,agbota gino,136
36,0.9913527727127075,139,AGBOTA G C,AGBOTA GINO CEDRIC,IRD  Mere & Enfant Face Infect Trop UMR216,Paris,France,paris,france,cerpage,agbota g,agbota gino,136
36,0.99138389825820927,140,AGBOTA G C,AGBOTA GINO CEDRIC,Univ Paris 05  PRES Paris Sorbonne Cite,Paris,France,paris,france,cerpage,agbota g,agbota gino,136
36,0.98906499147415161,141,AGBOTA G C,AGBOTA GINO CEDRIC,Univ Abomey Calavi  Fac Med Cotonou,Cotonou,Benin,paris,france,cerpage,agbota g,agbota gino,136
1440,,142,AGBOTONZOUMENOU M A,AGBOTONZOUMENOU MARIEAGNES,,,,,,,,,
37,0.99591095106942318,143,AGBOWAI C,AGBOWAI CARINE,Univ Abomey Calavi  Fac Sci Sante  Ctr Etude & Rech Paludisme Associe Grossesse & En,Cotonou,Benin,cotonou,benin,univ abomey calavi fac sci sante ctr etude & rech paludisme associe grossesse & en,agbowai c,agbowai carine,143
37,0.99322605133056641,144,AGBOWAI C,AGBOWAI C,,,,cotonou,benin,univ abomey calavi fac sci sante ctr etude & rech paludisme associe grossesse & en,agbowai c,agbowai carine,143
37,0.99467955316816059,145,AGBOWAI C,AGBOWAI CARINE,,,,cotonou,benin,univ abomey calavi fac sci sante ctr etude & rech paludisme associe grossesse & en,agbowai c,agbowai carine,143
37,0.99478392941611149,146,AGBOWAI C,AGBOWAI CARINE,Fac Sci Sante  Lab Parasitol,Cotonou,Benin,cotonou,benin,univ abomey calavi fac sci sante ctr etude & rech paludisme associe grossesse & en,agbowai c,agbowai carine,143
37,0.99492646115166805,147,AGBOWAI C,AGBOWAI CARINE,Univ Abomey Calavi  Fac Sci Sante,Cotonou,Benin,cotonou,benin,univ abomey calavi fac sci sante ctr etude & rech paludisme associe grossesse & en,agbowai c,agbowai carine,143
37,0.99498472043446129,148,AGBOWAI C,AGBOWAI CARINE,Ctr Rech Entomol Cotonou,Cotonou,Benin,cotonou,benin,univ abomey calavi fac sci sante ctr etude & rech paludisme associe grossesse & en,agbowai c,agbowai carine,143
37,0.99501797131129677,149,AGBOWAI C,AGBOWAI CARINE,Ctr Rech Entomol Cotonou  Parasitol Lab,Cotonou,Benin,cotonou,benin,univ abomey calavi fac sci sante ctr etude & rech paludisme associe grossesse & en,agbowai c,agbowai carine,143
37,0.99591095106942318,150,AGBOWAI C,AGBOWAI CARINE,Univ Abomey Calavi  Fac Sci Sante  Ctr Etud & Rech Paludisme Associe Grossesse & Enf,Cotonou,Benin,cotonou,benin,univ abomey calavi fac sci sante ctr etude & rech paludisme associe grossesse & en,agbowai c,agbowai carine,143
38,0.994026,151,AGERBAEK M O,AGERBAEK METTE O,Univ Copenhagen  Ctr Med Parasitol  Dept Immunol & Microbiol  Fac Hlth & Med Sci,Copenhagen,Denmark,copenhagen,denmark,univ copenhagen ctr med parasitol dept immunol & microbiol fac hlth & med sci,agerbaek m o,agerbaek mette o,151
38,0.994026,152,AGERBAEK M O,AGERBAEK METTE O,Rigshosp  Dept Infect Dis  Copenhagen Univ Hosp,DK-2100 Copenhagen,Denmark,copenhagen,denmark,univ copenhagen ctr med parasitol dept immunol & microbiol fac hlth & med sci,agerbaek m o,agerbaek mette o,151
39,0.994922,153,AGNEW P,AGNEW PHILIP,,,,f-34394 montpellier,france,ird cnrs genet & evolut malad infect umr 2724,agnew p,agnew philip,153
39,0.994922,154,AGNEW P,AGNEW PHILIP,IRD  CNRS  Genet & Evolut Malad Infect UMR 2724,F-34394 Montpellier,France,f-34394 montpellier,france,ird cnrs genet & evolut malad infect umr 2724,agnew p,agnew philip,153
40,0.9926687628030777,155,AGOSSA F,AGOSSA FIACRE,Ctr Rech Entomol Cotonou,Cotonou,Benin,cotonou,benin,crec,agossa f r,agossa fiacre r,165
40,0.99301749467849731,156,AGOSSA F,AGOSSA FIACRE,Univ Abomey Calavi  Fac Sci & Tech,Calavi,Benin,cotonou,benin,crec,agossa f r,agossa fiacre r,165
