Id,init_name,last_name,first_name,affiliation,city,country
29,PORTAELS F,PORTAELS,FRANCOISE,,,,
30,PORTAELS F,PORTAELS,FRANCOISE,,,,
31,PORTAELS F,PORTAELS,FRANCOISE,Inst Trop Med  Mycobacteriol Unit,B-2000 Antwerp,Belgium,
32,PORTAELS F,PORTAELS,FRANCOISE,Inst Trop Med  Mycobacteriol Unit,B-2000 Antwerp,Belgium,
33,ADE S,ADE,SERGE,Natl TB Programme,Cotonou,Benin,
34,ADE S,ADE,SERGE,Natl TB Programme,Cotonou,Benin,
35,ADE S,ADE,SERGE,Natl TB Programme,Cotonou,Benin,
36,ADE S,ADE,SERGE,Natl TB Programme,Cotonou,Benin,
37,HARRIES A D,HARRIES,ANTHONY D,,,,
38,HARRIES A D,HARRIES,ANTHONY D,Int Union TB & Lung Dis,Paris,France,
39,HARRIES A D,HARRIES,ANTHONY D,London Sch Hyg & Trop Med,London WC1,England,
40,HARRIES A D,HARRIES,ANTHONY D,London Sch Hyg & Trop Med,London WC1,England,
41,TREBUCQ A,TREBUCQ,ARNAUD,,,,
42,TREBUCQ A,TREBUCQ,ARNAUD,Int Union TB & Lung Dis,Paris,France,
43,TREBUCQ A,TREBUCQ,ARNAUD,Int Union TB & Lung Dis,Paris,France,
44,TREBUCQ A,TREBUCQ,ARNAUD,Int Union TB & Lung Dis,Paris,France,
45,HINDERAKER S G,HINDERAKER,SVEN GUDMUND,,,,
46,HINDERAKER S G,HINDERAKER,SVEN GUDMUND,,,,
47,HINDERAKER S G,HINDERAKER,SVEN GUDMUND,,,,
48,HINDERAKER S G,HINDERAKER,SVEN GUDMUND,Univ Bergen,Bergen,Norway,
49,ADE G,ADE,GABRIEL,Natl TB Programme,Cotonou,Benin,
50,ADE G,ADE,GABRIEL,Natl TB Programme,Cotonou,Benin,
51,ADE G,ADE,GABRIEL,Natl TB Programme,Cotonou,Benin,
52,ADE G,ADE,GABRIEL,Natl TB Programme,Cotonou,Benin,
53,AGODOKPESSI G,AGODOKPESSI,GILDAS,Natl TB Programme,Cotonou,Benin,
54,AGODOKPESSI G,AGODOKPESSI,GILDAS,Natl TB Programme,Cotonou,Benin,
55,AGODOKPESSI G,AGODOKPESSI,GILDAS,Natl TB Programme,Cotonou,Benin,
56,AGODOKPESSI G,AGODOKPESSI,GILDAS,Natl TB Programme,Cotonou,Benin,
57,AFFOLABI D,AFFOLABI,DISSOU,Natl TB Programme,Cotonou,Benin,
58,AFFOLABI D,AFFOLABI,DISSOU,Natl TB Programme,Cotonou,Benin,
59,AFFOLABI D,AFFOLABI,DISSOU,Natl TB Programme,Cotonou,Benin,
60,AFFOLABI D,AFFOLABI,DISSOU,Natl TB Programme,Cotonou,Benin,
61,ANAGONOU S,ANAGONOU,SEVERIN,Natl TB Programme,Cotonou,Benin,
62,ANAGONOU S,ANAGONOU,SEVERIN,Natl TB Programme,Cotonou,Benin,
63,ANAGONOU S,ANAGONOU,SEVERIN,Natl TB Programme,Cotonou,Benin,
64,ANAGONOU S,ANAGONOU,SEVERIN,Natl TB Programme,Cotonou,Benin,
65,ADJOBIMEY M,ADJOBIMEY,M,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin,
66,ADJOBIMEY M,ADJOBIMEY,M,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin,
67,ADJOBIMEY M,ADJOBIMEY,M,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin,
68,ADJOBIMEY M,ADJOBIMEY,M,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin,
69,ADJOBIMEY M,ADJOBIMEY,M,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin,
70,MASSEREY E,MASSEREY,E,,,,
71,MASSEREY E,MASSEREY,E,Serv Sante Publ,Vaud,Switzerland,
72,MASSEREY E,MASSEREY,E,Serv Sante Publ,Vaud,Switzerland,
73,MASSEREY E,MASSEREY,E,Serv Sante Publ,Vaud,Switzerland,
74,MASSEREY E,MASSEREY,E,Serv Sante Publ,Vaud,Switzerland,
75,ADJONOU C,ADJONOU,C,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin,
76,ADJONOU C,ADJONOU,C,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin,
77,ADJONOU C,ADJONOU,C,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin,
78,ADJONOU C,ADJONOU,C,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin,
79,ADJONOU C,ADJONOU,C,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin,
80,GBENAGNON G,GBENAGNON,G,,,,
81,GBENAGNON G,GBENAGNON,G,,,,
82,GBENAGNON G,GBENAGNON,G,Ctr Hosp Pneumophtisiol Akron,Akron,Benin,
83,GBENAGNON G,GBENAGNON,G,Ctr Hosp Pneumophtisiol Akron,Akron,Benin,
84,GBENAGNON G,GBENAGNON,G,Ctr Hosp Pneumophtisiol Akron,Akron,Benin,
85,SCHWOEBEL V,SCHWOEBEL,V,,,,
86,SCHWOEBEL V,SCHWOEBEL,V,,,,
87,SCHWOEBEL V,SCHWOEBEL,V,,,,
88,SCHWOEBEL V,SCHWOEBEL,V,Int Union TB & Lung Dis,Paris,France,
89,SCHWOEBEL V,SCHWOEBEL,V,Int Union TB & Lung Dis,Paris,France,
90,ANAGONOU S,ANAGONOU,S,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin,
91,ANAGONOU S,ANAGONOU,S,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin,
92,ANAGONOU S,ANAGONOU,S,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin,
93,ANAGONOU S,ANAGONOU,S,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin,
94,ANAGONOU S,ANAGONOU,S,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin,
95,ZELLWEGER J P,ZELLWEGER,J P,,,,
96,ZELLWEGER J P,ZELLWEGER,J P,,,,
97,ZELLWEGER J P,ZELLWEGER,J P,,,,
98,ZELLWEGER J P,ZELLWEGER,J P,,,,
99,ZELLWEGER J P,ZELLWEGER,J P,,,,
100,SMYTHE W,SMYTHE,WYNAND,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
101,SMYTHE W,SMYTHE,WYNAND,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
102,SMYTHE W,SMYTHE,WYNAND,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
103,SMYTHE W,SMYTHE,WYNAND,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
104,SMYTHE W,SMYTHE,WYNAND,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
105,SMYTHE W,SMYTHE,WYNAND,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
106,SMYTHE W,SMYTHE,WYNAND,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
107,SMYTHE W,SMYTHE,WYNAND,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
108,SMYTHE W,SMYTHE,WYNAND,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
109,SMYTHE W,SMYTHE,WYNAND,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
110,SMYTHE W,SMYTHE,WYNAND,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
111,MERLE C S,MERLE,CORINNE S,,,,
112,MERLE C S,MERLE,CORINNE S,Univ London London Sch Hyg & Trop Med  Fac Epidemiol & Populat Hlth  Trop Epidemiol Grp,London WC1E 7HT,England,
113,MERLE C S,MERLE,CORINNE S,Univ London London Sch Hyg & Trop Med  Fac Epidemiol & Populat Hlth  Trop Epidemiol Grp,London WC1E 7HT,England,
114,MERLE C S,MERLE,CORINNE S,Univ London London Sch Hyg & Trop Med  Fac Epidemiol & Populat Hlth  Trop Epidemiol Grp,London WC1E 7HT,England,
115,MERLE C S,MERLE,CORINNE S,Univ London London Sch Hyg & Trop Med  Fac Epidemiol & Populat Hlth  Trop Epidemiol Grp,London WC1E 7HT,England,
116,MERLE C S,MERLE,CORINNE S,Univ London London Sch Hyg & Trop Med  Fac Epidemiol & Populat Hlth  Trop Epidemiol Grp,London WC1E 7HT,England,
117,MERLE C S,MERLE,CORINNE S,Univ London London Sch Hyg & Trop Med  Fac Epidemiol & Populat Hlth  Trop Epidemiol Grp,London WC1E 7HT,England,
118,MERLE C S,MERLE,CORINNE S,Univ London London Sch Hyg & Trop Med  Fac Epidemiol & Populat Hlth  Trop Epidemiol Grp,London WC1E 7HT,England,
119,MERLE C S,MERLE,CORINNE S,Univ London London Sch Hyg & Trop Med  Fac Epidemiol & Populat Hlth  Trop Epidemiol Grp,London WC1E 7HT,England,
120,MERLE C S,MERLE,CORINNE S,Univ London London Sch Hyg & Trop Med  Fac Epidemiol & Populat Hlth  Trop Epidemiol Grp,London WC1E 7HT,England,
121,MERLE C S,MERLE,CORINNE S,Univ London London Sch Hyg & Trop Med  Fac Epidemiol & Populat Hlth  Trop Epidemiol Grp,London WC1E 7HT,England,
122,RUSTOMJEE R,RUSTOMJEE,ROXANA,,,,
123,RUSTOMJEE R,RUSTOMJEE,ROXANA,,,,
124,RUSTOMJEE R,RUSTOMJEE,ROXANA,MRC  Unit Clin & Biomed TB Res,Durban,South Africa,
125,RUSTOMJEE R,RUSTOMJEE,ROXANA,MRC  Unit Clin & Biomed TB Res,Durban,South Africa,
126,RUSTOMJEE R,RUSTOMJEE,ROXANA,MRC  Unit Clin & Biomed TB Res,Durban,South Africa,
127,RUSTOMJEE R,RUSTOMJEE,ROXANA,MRC  Unit Clin & Biomed TB Res,Durban,South Africa,
128,RUSTOMJEE R,RUSTOMJEE,ROXANA,MRC  Unit Clin & Biomed TB Res,Durban,South Africa,
129,RUSTOMJEE R,RUSTOMJEE,ROXANA,MRC  Unit Clin & Biomed TB Res,Durban,South Africa,
130,RUSTOMJEE R,RUSTOMJEE,ROXANA,MRC  Unit Clin & Biomed TB Res,Durban,South Africa,
131,RUSTOMJEE R,RUSTOMJEE,ROXANA,MRC  Unit Clin & Biomed TB Res,Durban,South Africa,
132,RUSTOMJEE R,RUSTOMJEE,ROXANA,MRC  Unit Clin & Biomed TB Res,Durban,South Africa,
133,GNINAFON M,GNINAFON,MARTIN,,,,
134,GNINAFON M,GNINAFON,MARTIN,,,,
135,GNINAFON M,GNINAFON,MARTIN,,,,
136,GNINAFON M,GNINAFON,MARTIN,Programme Natl Lutte TB,Cotonou,Benin,
137,GNINAFON M,GNINAFON,MARTIN,Programme Natl Lutte TB,Cotonou,Benin,
138,GNINAFON M,GNINAFON,MARTIN,Programme Natl Lutte TB,Cotonou,Benin,
139,GNINAFON M,GNINAFON,MARTIN,Programme Natl Lutte TB,Cotonou,Benin,
140,GNINAFON M,GNINAFON,MARTIN,Programme Natl Lutte TB,Cotonou,Benin,
141,GNINAFON M,GNINAFON,MARTIN,Programme Natl Lutte TB,Cotonou,Benin,
142,GNINAFON M,GNINAFON,MARTIN,Programme Natl Lutte TB,Cotonou,Benin,
143,GNINAFON M,GNINAFON,MARTIN,Programme Natl Lutte TB,Cotonou,Benin,
144,LO M B,LO,MAME BOCAR,,,,
145,LO M B,LO,MAME BOCAR,,,,
146,LO M B,LO,MAME BOCAR,,,,
147,LO M B,LO,MAME BOCAR,,,,
148,LO M B,LO,MAME BOCAR,Programme Natl Lutte TB,Dakar,Senegal,
149,LO M B,LO,MAME BOCAR,Programme Natl Lutte TB,Dakar,Senegal,
150,LO M B,LO,MAME BOCAR,Programme Natl Lutte TB,Dakar,Senegal,
151,LO M B,LO,MAME BOCAR,Programme Natl Lutte TB,Dakar,Senegal,
152,LO M B,LO,MAME BOCAR,Programme Natl Lutte TB,Dakar,Senegal,
153,LO M B,LO,MAME BOCAR,Programme Natl Lutte TB,Dakar,Senegal,
154,LO M B,LO,MAME BOCAR,Programme Natl Lutte TB,Dakar,Senegal,
155,BAHSOW O,BAHSOW,OUMOU,,,,
156,BAHSOW O,BAHSOW,OUMOU,,,,
157,BAHSOW O,BAHSOW,OUMOU,,,,
158,BAHSOW O,BAHSOW,OUMOU,,,,
159,BAHSOW O,BAHSOW,OUMOU,,,,
160,BAHSOW O,BAHSOW,OUMOU,,,,
161,BAHSOW O,BAHSOW,OUMOU,,,,
162,BAHSOW O,BAHSOW,OUMOU,,,,
163,BAHSOW O,BAHSOW,OUMOU,,,,
164,BAHSOW O,BAHSOW,OUMOU,,,,
165,BAHSOW O,BAHSOW,OUMOU,,,,
166,OLLIARO P L,OLLIARO,PIERO L,,,,
167,OLLIARO P L,OLLIARO,PIERO L,,,,
168,OLLIARO P L,OLLIARO,PIERO L,,,,
169,OLLIARO P L,OLLIARO,PIERO L,,,,
170,OLLIARO P L,OLLIARO,PIERO L,,,,
171,OLLIARO P L,OLLIARO,PIERO L,,,,
172,OLLIARO P L,OLLIARO,PIERO L,WHO  UNICEF  UNDP  World Bank WHO Special Programme Res & Training T,Zurich,Switzerland,
173,OLLIARO P L,OLLIARO,PIERO L,WHO  UNICEF  UNDP  World Bank WHO Special Programme Res & Training T,Zurich,Switzerland,
174,OLLIARO P L,OLLIARO,PIERO L,WHO  UNICEF  UNDP  World Bank WHO Special Programme Res & Training T,Zurich,Switzerland,
175,OLLIARO P L,OLLIARO,PIERO L,WHO  UNICEF  UNDP  World Bank WHO Special Programme Res & Training T,Zurich,Switzerland,
176,OLLIARO P L,OLLIARO,PIERO L,WHO  UNICEF  UNDP  World Bank WHO Special Programme Res & Training T,Zurich,Switzerland,
177,LIENHARDT C,LIENHARDT,CHRISTIAN,,,,
178,LIENHARDT C,LIENHARDT,CHRISTIAN,,,,
179,LIENHARDT C,LIENHARDT,CHRISTIAN,,,,
180,LIENHARDT C,LIENHARDT,CHRISTIAN,,,,
181,LIENHARDT C,LIENHARDT,CHRISTIAN,,,,
182,LIENHARDT C,LIENHARDT,CHRISTIAN,,,,
183,LIENHARDT C,LIENHARDT,CHRISTIAN,,,,
184,LIENHARDT C,LIENHARDT,CHRISTIAN,IRD,Paris,France,
185,LIENHARDT C,LIENHARDT,CHRISTIAN,IRD,Paris,France,
186,LIENHARDT C,LIENHARDT,CHRISTIAN,IRD,Paris,France,
187,LIENHARDT C,LIENHARDT,CHRISTIAN,IRD,Paris,France,
188,HORTON J,HORTON,JOHN,,,,
189,HORTON J,HORTON,JOHN,,,,
190,HORTON J,HORTON,JOHN,,,,
191,HORTON J,HORTON,JOHN,,,,
192,HORTON J,HORTON,JOHN,,,,
193,HORTON J,HORTON,JOHN,,,,
194,HORTON J,HORTON,JOHN,,,,
195,HORTON J,HORTON,JOHN,,,,
196,HORTON J,HORTON,JOHN,Trop Projects,Hitchin,England,
197,HORTON J,HORTON,JOHN,Trop Projects,Hitchin,England,
198,HORTON J,HORTON,JOHN,Trop Projects,Hitchin,England,
199,SMITH P,SMITH,PETER,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
200,SMITH P,SMITH,PETER,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
201,SMITH P,SMITH,PETER,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
202,SMITH P,SMITH,PETER,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
203,SMITH P,SMITH,PETER,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
204,SMITH P,SMITH,PETER,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
205,SMITH P,SMITH,PETER,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
206,SMITH P,SMITH,PETER,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
207,SMITH P,SMITH,PETER,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
208,SMITH P,SMITH,PETER,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
209,SMITH P,SMITH,PETER,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
210,MCILLERON H,MCILLERON,HELEN,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
211,MCILLERON H,MCILLERON,HELEN,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
212,MCILLERON H,MCILLERON,HELEN,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
213,MCILLERON H,MCILLERON,HELEN,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
214,MCILLERON H,MCILLERON,HELEN,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
215,MCILLERON H,MCILLERON,HELEN,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
216,MCILLERON H,MCILLERON,HELEN,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
217,MCILLERON H,MCILLERON,HELEN,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
218,MCILLERON H,MCILLERON,HELEN,Univ Cape Town  Dept Med  Div Clin Pharmacol,ZA-7925 Cape Town,South Africa,
219,MCILLERON H,MCILLERON,HELEN,Univ Cape Town  Inst Infect Dis & Mol Med,ZA-7925 Cape Town,South Africa,
220,MCILLERON H,MCILLERON,HELEN,Univ Cape Town  Inst Infect Dis & Mol Med,ZA-7925 Cape Town,South Africa,
221,SIMONSSON U S H,SIMONSSON,ULRIKA S H,,,,
222,SIMONSSON U S H,SIMONSSON,ULRIKA S H,,,,
223,SIMONSSON U S H,SIMONSSON,ULRIKA S H,,,,
224,SIMONSSON U S H,SIMONSSON,ULRIKA S H,,,,
225,SIMONSSON U S H,SIMONSSON,ULRIKA S H,,,,
226,SIMONSSON U S H,SIMONSSON,ULRIKA S H,,,,
227,SIMONSSON U S H,SIMONSSON,ULRIKA S H,,,,
228,SIMONSSON U S H,SIMONSSON,ULRIKA S H,,,,
229,SIMONSSON U S H,SIMONSSON,ULRIKA S H,,,,
230,SIMONSSON U S H,SIMONSSON,ULRIKA S H,,,,
231,SIMONSSON U S H,SIMONSSON,ULRIKA S H,Uppsala Univ  Dept Pharmaceut Biosci,Uppsala,Sweden,
232,AGODOKPESSI G,AGODOKPESSI,G,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin,
233,AGODOKPESSI G,AGODOKPESSI,G,Fac Sci Sante,Cotonou,Benin,
234,ADE G,ADE,G,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin,
235,ADE G,ADE,G,Fac Sci Sante,Cotonou,Benin,
236,ADE S,ADE,S,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin,
237,ADE S,ADE,S,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin,
238,WACHINOU A P,WACHINOU,A P,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin,
239,WACHINOU A P,WACHINOU,A P,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin,
240,AFFOLABI D,AFFOLABI,D,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin,
241,AFFOLABI D,AFFOLABI,D,Fac Sci Sante,Cotonou,Benin,
242,ANAGONOU S,ANAGONOU,S,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin,
243,ANAGONOU S,ANAGONOU,S,Fac Sci Sante,Cotonou,Benin,
244,GNINAFON M,GNINAFON,M,Ctr Natl Hosp Pneumophtisiol,Cotonou,Benin,
245,GNINAFON M,GNINAFON,M,Fac Sci Sante,Cotonou,Benin,
246,AFFOLABI D,AFFOLABI,D,,,,
247,AFFOLABI D,AFFOLABI,D,Lab Reference Mycobacteries,Cotonou,Benin,
248,AFFOLABI D,AFFOLABI,D,Lab Reference Mycobacteries,Cotonou,Benin,
249,TORREA G,TORREA,G,Inst Trop Med  Mycobacteriol Unit,B-2000 Antwerp,Belgium,
250,TORREA G,TORREA,G,Inst Trop Med  Mycobacteriol Unit,B-2000 Antwerp,Belgium,
251,TORREA G,TORREA,G,Inst Trop Med  Mycobacteriol Unit,B-2000 Antwerp,Belgium,
252,ODOUN M,ODOUN,M,,,,
253,ODOUN M,ODOUN,M,Lab Reference Mycobacteries,Cotonou,Benin,
254,ODOUN M,ODOUN,M,Lab Reference Mycobacteries,Cotonou,Benin,
255,SENOU N,SENOU,N,,,,
256,SENOU N,SENOU,N,Lab Reference Mycobacteries,Cotonou,Benin,
257,SENOU N,SENOU,N,Lab Reference Mycobacteries,Cotonou,Benin,
258,LIGALI M A,LIGALI,M ALI,,,,
259,LIGALI M A,LIGALI,M ALI,Lab Reference Mycobacteries,Cotonou,Benin,
260,LIGALI M A,LIGALI,M ALI,Lab Reference Mycobacteries,Cotonou,Benin,
261,ANAGONOU S,ANAGONOU,S,,,,
262,ANAGONOU S,ANAGONOU,S,Lab Reference Mycobacteries,Cotonou,Benin,
263,ANAGONOU S,ANAGONOU,S,Lab Reference Mycobacteries,Cotonou,Benin,
264,VAN DEUN A,VAN DEUN,A,Inst Trop Med  Mycobacteriol Unit,B-2000 Antwerp,Belgium,
265,VAN DEUN A,VAN DEUN,A,Inst Trop Med  Mycobacteriol Unit,B-2000 Antwerp,Belgium,
266,VAN DEUN A,VAN DEUN,A,Int Union TB & Lung Dis,Paris,France,
267,AFFOLABI D,AFFOLABI,DISSOU,Lab Reference Mycobacteries,Cotonou,Benin,
268,AFFOLABI D,AFFOLABI,DISSOU,Inst Trop Med,B-2000 Antwerp,Belgium,
269,FAIHUN F,FAIHUN,FRANK,Lab Reference Mycobacteries,Cotonou,Benin,
270,FAIHUN F,FAIHUN,FRANK,Lab Reference Mycobacteries,Cotonou,Benin,
271,SANOUSSI N,SANOUSSI,NDIRA,,,,
272,SANOUSSI N,SANOUSSI,NDIRA,,,,
273,ANYO G,ANYO,GLADYS,,,,
274,ANYO G,ANYO,GLADYS,Inst Trop Med,B-2000 Antwerp,Belgium,
275,SHAMPUTA I C,SHAMPUTA,ISDORE CHOLA,,,,
276,SHAMPUTA I C,SHAMPUTA,ISDORE CHOLA,Inst Trop Med,B-2000 Antwerp,Belgium,
277,RIGOUTS L,RIGOUTS,LEEN,,,,
278,RIGOUTS L,RIGOUTS,LEEN,Inst Trop Med,B-2000 Antwerp,Belgium,
279,KESTENS L,KESTENS,LUC,,,,
280,KESTENS L,KESTENS,LUC,Inst Trop Med,B-2000 Antwerp,Belgium,
281,ANAGONOU S,ANAGONOU,SEVERIN,Lab Reference Mycobacteries,Cotonou,Benin,
282,ANAGONOU S,ANAGONOU,SEVERIN,Lab Reference Mycobacteries,Cotonou,Benin,
283,PORTAELS F,PORTAELS,FRANCOISE,,,,
284,PORTAELS F,PORTAELS,FRANCOISE,Inst Trop Med,B-2000 Antwerp,Belgium,
285,LAOKRI S,LAOKRI,SAMIA,Univ Libre Bruxelles,Brussels,Belgium,
286,LAOKRI S,LAOKRI,SAMIA,Univ Libre Bruxelles,Brussels,Belgium,
287,DRAMAIXWILMET M,DRAMAIXWILMET,MICHELE,,,,
288,DRAMAIXWILMET M,DRAMAIXWILMET,MICHELE,,,,
289,KASSA F,KASSA,FERDINAND,,,,
290,KASSA F,KASSA,FERDINAND,Programme Natl TB,Cotonou,Benin,
291,ANAGONOU S,ANAGONOU,SEVERIN,,,,
292,ANAGONOU S,ANAGONOU,SEVERIN,Programme Natl TB,Cotonou,Benin,
293,DUJARDIN B,DUJARDIN,BRUNO,Univ Libre Bruxelles,Brussels,Belgium,
294,DUJARDIN B,DUJARDIN,BRUNO,Univ Libre Bruxelles,Brussels,Belgium,
295,AFFOLABI D,AFFOLABI,D,Lab Reference Mycobacteries,Cotonou,Benin,
296,AFFOLABI D,AFFOLABI,D,Inst Trop Med  Mycobacteriol Unit,B-2000 Antwerp,Belgium,
297,AFFOLABI D,AFFOLABI,D,Inst Trop Med  Mycobacteriol Unit,B-2000 Antwerp,Belgium,
298,ANYO G,ANYO,G,,,,
299,ANYO G,ANYO,G,Inst Trop Med  Mycobacteriol Unit,B-2000 Antwerp,Belgium,
300,ANYO G,ANYO,G,Inst Trop Med  Mycobacteriol Unit,B-2000 Antwerp,Belgium,
301,FAIHUN F,FAIHUN,F,Lab Reference Mycobacteries,Cotonou,Benin,
302,FAIHUN F,FAIHUN,F,Lab Reference Mycobacteries,Cotonou,Benin,
303,FAIHUN F,FAIHUN,F,Lab Reference Mycobacteries,Cotonou,Benin,
304,SANOUSSI N,SANOUSSI,N,Lab Reference Mycobacteries,Cotonou,Benin,
305,SANOUSSI N,SANOUSSI,N,Lab Reference Mycobacteries,Cotonou,Benin,
306,SANOUSSI N,SANOUSSI,N,Lab Reference Mycobacteries,Cotonou,Benin,
