True Id,init_name,last_name,first_name,full_name,norm_name,place,affiliation,country
1621,NAGHAVI M,NAGHAVI,MOHSEN,NAGHAVI MOHSEN,NAGHAVI M,SEATTLE,UNIV WASHINGTON  INST HLTH METR & EVALUAT,USA
1622,DICKER D,DICKER,DANIEL,DICKER DANIEL,DICKER D,SEATTLE,UNIV WASHINGTON  INST HLTH METR & EVALUAT,USA
1623,HEUTON K R,HEUTON,KYLE R,HEUTON KYLE R,HEUTON K R,SEATTLE,UNIV WASHINGTON  INST HLTH METR & EVALUAT,USA
1624,PHILLIPS D E,PHILLIPS,DAVID E,PHILLIPS DAVID E,PHILLIPS D E,SEATTLE,UNIV WASHINGTON  INST HLTH METR & EVALUAT,USA
1625,FLEMING T D,FLEMING,THOMAS D,FLEMING THOMAS D,FLEMING T D,SEATTLE,UNIV WASHINGTON  INST HLTH METR & EVALUAT,USA
1626,FLAXMAN A D,FLAXMAN,ABRAHAM D,FLAXMAN ABRAHAM D,FLAXMAN A D,SEATTLE,UNIV WASHINGTON  INST HLTH METR & EVALUAT,USA
1627,PHILLIPS B K,PHILLIPS,BRYAN K,PHILLIPS BRYAN K,PHILLIPS B K,SEATTLE,UNIV WASHINGTON  INST HLTH METR & EVALUAT,USA
1628,COGGESHALL M S,COGGESHALL,MEGAN S,COGGESHALL MEGAN S,COGGESHALL M S,SEATTLE,UNIV WASHINGTON  INST HLTH METR & EVALUAT,USA
1642,FOROUZANFAR M H,FOROUZANFAR,MOHAMMAD H,FOROUZANFAR MOHAMMAD H,FOROUZANFAR M H,SEATTLE,UNIV WASHINGTON  INST HLTH METR & EVALUAT,USA
1650,MOKDAD A H,MOKDAD,ALI H,MOKDAD ALI H,MOKDAD A H,SEATTLE,UNIV WASHINGTON  INST HLTH METR & EVALUAT,USA
1651,NG M,NG,MARIE,NG MARIE,NG M,SEATTLE,UNIV WASHINGTON  INST HLTH METR & EVALUAT,USA
1657,VOS T,VOS,THEO,VOS THEO,VOS T,SEATTLE,UNIV WASHINGTON  INST HLTH METR & EVALUAT,USA
1684,BJELIC I,BJELIC,IVANA,BJELIC IVANA,BJELIC I,NEW YORK,UNICEF NEW YORK,USA
1745,CHEN D,CHEN,DONALD,CHEN DONALD,CHEN D,NEW YORK,NYU  SCH MED,USA
1746,SYTEK A L,SYTEK,ALEKSANDRA LELIWA,SYTEK ALEKSANDRA LELIWA,SYTEK A L,NEW YORK,NYU  SCH MED,USA
1747,BROWN S M,BROWN,STUART M,BROWN STUART M,BROWN S M,NEW YORK,NYU  SCH MED,USA
1810,MACE K E,MACE,KIMBERLY E,MACE KIMBERLY E,MACE K E,ATLANTA,CTR DIS CONTROL & PREVENT  MALARIA BRANCH  DIV PARASIT DIS & MALARIA  CTR GLOBAL HLTH,USA
1811,GUEYE A S,GUEYE,ABDOU SALAM,GUEYE ABDOU SALAM,GUEYE A S,ATLANTA,CTR DIS CONTROL & PREVENT  MALARIA BRANCH  DIV PARASIT DIS & MALARIA  CTR GLOBAL HLTH,USA
1812,LYNCH M F,LYNCH,MICHAEL F,LYNCH MICHAEL F,LYNCH M F,ATLANTA,CTR DIS CONTROL & PREVENT  MALARIA BRANCH  DIV PARASIT DIS & MALARIA  CTR GLOBAL HLTH,USA
881,ALEGRETTI M A,ANGEL ALEGRETTI,MIGUEL,ANGEL ALEGRETTI MIGUEL,ANGEL ALEGRETTI MIGUEL,MONTEVIDEO,UNIV REPUBLICA FAC MED DEPT PREVENT & SOCIAL MED,URUGUAY
922,COLOMAR M,COLOMAR,MERCEDES,COLOMAR MERCEDES,COLOMAR MERCEDES,MONTEVIDEO,UNICEM,URUGUAY
