Id,init_name,last_name,first_name,affiliation,city,country
197,BA F,BA,FATOUMATA,,,
198,BA F,BA,FATOUMATA,Lab Reference Mycobacteries,Dakar,Senegal
199,SARR M,SARR,MARIE,,,
200,SARR M,SARR,MARIE,Natl TB Programme,Dakar,Senegal
201,PIUBELLO A,PIUBELLO,ALBERTO,,,
202,PIUBELLO A,PIUBELLO,ALBERTO,Damien Fdn,Niamey,Niger
203,NOESKE J,NOESKE,JUERGEN,,,
204,ANTONIO M,ANTONIO,MARTIN,,,
205,ANTONIO M,ANTONIO,MARTIN,MRC  Gambia Unit,Fajara,Gambia
206,DE JONG B C,DE JONG,BOUKE C,NYU,New York,USA
207,ADJAGBA OABG,ADJAGBA,O A B G,,,
208,TANIMOMOKLEDJO B,TANIMOMOKLEDJO,B,,,
209,ANAGONOU S Y,ANAGONOU,S Y,,,
210,GNINAFON M,GNINAFON,M,Ctr Natl Hosp Pneumophysiol,Cotonou,Benin
211,ADE G,ADE,G,,,
212,ADE G,ADE,G,Ctr Natl Hosp Pneumophysiol,Cotonou,Benin
213,ENARSON D A,ENARSON,D A,Int Union TB & Lung Dis,Paris,France
214,CHIANG C Y,CHIANG,CY,,,
215,AMIDOU S A,AMIDOU,S A,Natl Program HIV,Parakou,Benin
216,BAGUIDI R,BAGUIDI,R,,,
217,BAGUIDI R,BAGUIDI,R,Natl Program Againt TB,Parakou,Benin
218,CARSON S S,CARSON,S S,,,
219,CARSON S S,CARSON,S S,Univ North Carolina Chapel Hill,Chapel Hill,USA
220,WACHINOU A P,WACHINOU,A P,,,
221,WACHINOU A P,WACHINOU,A P,Natl Hosp TB & Lung Dis,Cotonou,Benin
222,AGODOKPESSI G,AGODOKPESSI,G,Fac Sci Sante Cotonou,Cotonou,Benin
223,ADE G,ADE,G,Fac Sci Sante Cotonou,Cotonou,Benin
224,NGAHANE B H M,NGAHANE,B H MBATCHOU,,,
225,NGAHANE B H M,NGAHANE,B H MBATCHOU,Hop Gen Douala  Serv Med Interne,Douala,Cameroon
226,BOHISSOU F,BOHISSOU,F,,,
227,BOHISSOU F,BOHISSOU,F,Fac Sci Sante Cotonou,Cotonou,Benin
228,GNINAFON M,GNINAFON,M,Fac Sci Sante Cotonou,Cotonou,Benin
229,MERLE C S C,MERLE,CORINNE S C,London Sch Hyg & Trop Med  Fac Epidemiol & Populat Hlth  Trop Epidemiol Grp,London,England
230,SISMANIDIS C,SISMANIDIS,CHARALAMBOS,London Sch Hyg & Trop Med  Fac Epidemiol & Populat Hlth  Trop Epidemiol Grp,London,England
231,SOW O B,SOW,OUMOU BAH,,,
232,SOW O B,SOW,OUMOU BAH,Hop Ignace Deen  Serv Pneumo Phtisiol,Conakry,Guinea
233,GNINAFON M,GNINAFON,MARTIN,Ctr Natl Hosp Pneumo Phtisiol,Cotonou,Benin
234,LAPUJADE O,LAPUJADE,OLIVIER,WHO  TDR,Geneva,Switzerland
235,LO M B,LO,MAME BOCAR,Programme Natl Lutte TB  Dakar,Fann,Senegal
236,MITCHINSON D A,MITCHINSON,DENIS A,,,
237,MITCHINSON D A,MITCHINSON,DENIS A,Univ London  Ctr Infect,London,England
238,PERRONNE C,PERRONNE,CHRISTIAN,Univ Versailles  Raymond Poincare Hosp  AP HP  Dept Infect Dis,Saint-Quentin-en-Yvelines,France
239,PORTAELS F,PORTAELS,FRANCOISE,Inst Trop Med  Dept Microbiol,Antwerp,Belgium
240,OLLIARO P,OLLIARO,PIERO,WHO  TDR,Geneva,Switzerland
241,RUSTOMJEE R,RUSTOMJEE,ROXANA,MRC  Unit Clin & Biomed TB Res,Overport,South Africa
242,LIENHARDT C,LIENHARDT,CHRISTIAN,WHO Stop TB Partnership 213,Geneva,Switzerland
243,FIELDING K,FIELDING,KATHERINE,London Sch Hyg & Trop Med  Fac Epidemiol & Populat Hlth  Trop Epidemiol Grp,London,England
244,TREBUCQ A,TREBUCQ,A,Int Union TB & Lung Dis  Dept TB Control & Prevent,Paris,France
245,RIEDER H L,RIEDER,H L,Int Union TB & Lung Dis  Dept TB Control & Prevent,Paris,France
246,RIEDER H L,RIEDER,H L,Univ Zurich  Inst Social & Prevent Med,Zurich,Switzerland
247,AFFOLABI D,AFFOLABI,D,Programme Natl TB,Cotonou,Benin
248,AKPONA R,AKPONA,R,,,
249,AKPONA R,AKPONA,R,Programme Natl TB,Cotonou,Benin
250,ODOUN M,ODOUN,M,Programme Natl TB,Cotonou,Benin
251,ALIDJINOU K,ALIDJINOU,K,,,
252,ALIDJINOU K,ALIDJINOU,K,Programme Natl TB,Cotonou,Benin
253,WACHINOU P,WACHINOU,P,,,
254,WACHINOU P,WACHINOU,P,Programme Natl TB,Cotonou,Benin
255,ANAGONOU S,ANAGONOU,S,Programme Natl TB,Cotonou,Benin
256,GNINAFON M,GNINAFON,M,Programme Natl TB,Cotonou,Benin
257,TREBUCQ A,TREBUCQ,A,Int Union TB & Lung Dis,Paris,France
258,TAWO L,TAWO,L,,,
259,KASSA F,KASSA,F,,,
260,MONTEIRO G R,MONTEIRO,GR,,,
261,ZELLWEGER J R,ZELLWEGER,JR,,,
262,SHANG H,SHANG,H,,,
263,LAMBREGTS K,LAMBREGTS,K,,,
264,ZELLWEGER J P,ZELLWEGER,J P,Ligue Pulm Suisse,Bern,Switzerland
265,KASSA F,KASSA,F,Natl TB Programme,Cotonou,Benin
266,LAMBREGTS K,LAMBREGTS,K,Royal Netherlands TB Assoc KNCV,The Hague,Netherlands
267,GNINAFON M,GNINAFON,M,Natl TB Programme,Cotonou,Benin
268,KHANDELWAL A,KHANDELWAL,AKASH,,,
269,KHANDELWAL A,KHANDELWAL,AKASH,Uppsala Univ  Dept Pharmaceut Biosci,Uppsala,Sweden
270,MERLE C,MERLE,CORINNE,London Sch Hyg & Trop Med  Dept Epidemiol & Populat Hlth  Trop Epidemiol Grp,London,England
271,SOW O B,SOW,OUMOU BAH,CHU Ignace Deen  Serv Pneumophtisiol,Conakry,Guinea
272,OLLIARO P L,OLLIARO,PIERO L,WHO  UNICEF UNDP World Bank WHO Special Programme Res,Geneva,Switzerland
273,LIENHARDT C,LIENHARDT,CHRISTIAN,Inst Rech Dev,Paris,France
274,ADE S,ADE,S,Natl TB Programme  BP321,Cotonou,Benin
275,ADE S,ADE,S,Ctr Natl Hosp Univ Hubert Koutoukou Maga  Serv Med Interne,Cotonou,Benin
276,ADE S,ADE,S,Int Union TB & Lung Dis,Paris,France
277,AFFOLABI D,AFFOLABI,D,Natl TB Programme  BP321,Cotonou,Benin
278,AGODOKPESSI G,AGODOKPESSI,G,Natl TB Programme  BP321,Cotonou,Benin
279,WACHINOU P,WACHINOU,P,Natl TB Programme  BP321,Cotonou,Benin
280,FAIHUN F,FAIHUN,F,Natl TB Programme  BP321,Cotonou,Benin
281,TOUNDOH N,TOUNDOH,N,Natl TB Programme  BP321,Cotonou,Benin
282,BEKOU W,BEKOU,W,Natl TB Programme  BP321,Cotonou,Benin
283,MAKPENON A,MAKPENON,A,Natl TB Programme  BP321,Cotonou,Benin
284,ADE G,ADE,G,Natl TB Programme  BP321,Cotonou,Benin
285,ADE G,ADE,G,Ctr Natl Hosp Univ Hubert Koutoukou Maga  Serv Med Interne,Cotonou,Benin
286,ANAGONOU S,ANAGONOU,S,Natl TB Programme  BP321,Cotonou,Benin
287,HARRIES A D,HARRIES,A D,,,
288,HARRIES A D,HARRIES,A D,Int Union TB & Lung Dis,Paris,France
289,HARRIES A D,HARRIES,A D,London Sch Hyg & Trop Med,London,England
290,KOUKPEMEDJI L,KOUKPEMEDJI,LOUIS,Lab Reference Mycobacteries,Cotonou,Benin
291,HARRIES A D,HARRIES,A D,London Sch Hyg & Trop Med  Fac Infect & Trop Dis  Dept Clin Res,London,England
292,ADE S,ADE,S,Natl TB Programme,Cotonou,Benin
293,BURNEY P,BURNEY,P,,,
294,BURNEY P,BURNEY,P,Imperial Coll  Natl Heart & Lung Inst,London,England
295,HOA N B,HOA,N B,Int Union TB & Lung Dis,Paris,France
296,HOA N B,HOA,N B,Natl TB Control Programme,Hanoi,Vietnam
297,SCHLUGER N W,SCHLUGER,N W,,,
298,SCHLUGER N W,SCHLUGER,N W,Columbia Univ  Med Ctr  Div Pulm Allergy & Crit Care Med,New York,USA
299,SCHLUGER N W,SCHLUGER,N W,Vital Strategies,New York,USA
300,CASTRO J L,CASTRO,J L,Int Union TB & Lung Dis,Paris,France
301,CASTRO J L,CASTRO,J L,Vital Strategies,New York,USA
302,GEHRE F,GEHRE,FLORIAN,MRC Unit,Fajara,Gambia
303,ANTONIO M,ANTONIO,MARTIN,MRC Unit,Fajara,Gambia
304,FAIHUN F,FAIHUN,FRANK,,,
305,ODOUN M,ODOUN,MATHIEU,,,
306,UWIZEYE C,UWIZEYE,CECILE,,,
307,DE RIJK P,DE RIJK,PIM,,,
308,DE JONG B C,DE JONG,BOUKE C,MRC Unit,Fajara,Gambia
309,ANDRE E,ANDRE,E,Catholic Univ Louvain  Inst Rech Expt & Clin  Pole Microbiol Med,Brussels,Belgium
310,ANDRE E,ANDRE,E,Clin Univ St Luc  Dept Biol Clin  Serv Microbiol,Brussels,Belgium
311,ANDRE E,ANDRE,E,ESCMID  European Soc Clin Microbiol & Infect Dis ESCMID  Study Grp Mycobacterial Infect ESGMYC,Basel,Switzerland
312,ISAACS C,ISAACS,C,,,
313,AFFOLABI D,AFFOLABI,D,Abomey Calavi Univ  Fac Hlth Sci,Cotonou,Benin
314,ALAGNA R,ALAGNA,R,,,
315,ALAGNA R,ALAGNA,R,Ist Ricovero & Cura Carattere Sci San Raffaele Sc  TB Supranat Reference Lab,Milan,Italy
316,BROCKMANN D,BROCKMANN,D,,,
317,BROCKMANN D,BROCKMANN,D,Humboldt Univ  Inst Theoret Biol  Dept Biol,Berlin,Germany
318,BROCKMANN D,BROCKMANN,D,Robert Koch Inst  Epidemiol Modelling Infect Dis,Berlin,Germany
319,DE JONG B C,DE JONG,B C,Inst Trop Med  Dept Biomed Sci  Unit Mycobacteriol,Ghent,Belgium
320,CAMBAU E,CAMBAU,E,,,
321,CAMBAU E,CAMBAU,E,Univ Paris Diderot  Inst Natl Sante & Rech Med  UMR 1137  Infect Antimicrobiens Modelisat Evolut,Paris,France
322,CAMBAU E,CAMBAU,E,Hop Lariboisiere  AP HP  Bacteriol,Paris,France
323,CHURCHYARD G,CHURCHYARD,G,,,
324,CHURCHYARD G,CHURCHYARD,G,Aurum Inst,Johannesburg,South Africa
325,COHEN T,COHEN,T,,,
326,COHEN T,COHEN,T,Yale Univ  Yale Sch Publ Hlth,New Haven,USA
327,DELMEE M,DELMEE,M,Catholic Univ Louvain  Inst Rech Expt & Clin  Pole Microbiol Med,Brussels,Belgium
328,DELMEE M,DELMEE,M,Clin Univ St Luc  Dept Biol Clin  Serv Microbiol,Brussels,Belgium
329,DELVENNE J C,DELVENNE,J C,,,
330,FARHAT M,FARHAT,M,,,
331,FARHAT M,FARHAT,M,Massachusetts Gen Hosp,Boston,USA
332,HABIB A,HABIB,A,,,
333,HABIB A,HABIB,A,Interact Hlth Solut,Karachi,Pakistan
334,HOLME R,HOLME,R,,,
335,HOLME R,HOLME,R,Sungkyunkwan Univ,Seoul,South Korea
336,KESHAVJEE S,KESHAVJEE,S,,,
337,KESHAVJEE S,KESHAVJEE,S,Harvard Med Sch  Ctr Global Hlth Delivery,Dubai,United Arab Emirates
338,KHAN A,KHAN,A,,,
339,KHAN A,KHAN,A,Interact Res & Dev,Karachi,Pakistan
340,LIGHTFOOT P,LIGHTFOOT,P,,,
341,LIGHTFOOT P,LIGHTFOOT,P,Fdn Innovat New Diagnost,Geneva,Switzerland
342,MOORE D,MOORE,D,,,
343,MOORE D,MOORE,D,London Sch Hyg & Trop Med  TB Ctr,London,England
344,MORENO Y,MORENO,Y,,,
345,MORENO Y,MORENO,Y,Univ Zaragoza  Inst Biocomputat & Phys Complex Syst BIFI,Zaragoza,Spain
346,MUNDADE Y,MUNDADE,Y,,,
347,MUNDADE Y,MUNDADE,Y,UNITAID,Geneva,Switzerland
348,PAI M,PAI,M,,,
349,PAI M,PAI,M,McGill Univ  McGill Int TB Ctr  Montreal,Quebec,Canada
350,PAI M,PAI,M,McGill Univ  McGill Global Hlth Programs  Montreal,Quebec,Canada
351,PATEL S,PATEL,S,,,
352,PATEL S,PATEL,S,Univ Hosp Southampton NHS Fdn Trust  Southampton,Hants,England
353,NYARUHIRIRA A U,NYARUHIRIRA,A U,,,
354,NYARUHIRIRA A U,NYARUHIRIRA,A U,Management Sci Hlth,Gauteng,South Africa
